"Customweb_UnzerCw::!label (Live)","!label (Live)"
"Customweb_UnzerCw::Already registered?","Già iscritto?"
"Customweb_UnzerCw::Always Checkout as Guest","Effettua il checkout sempre come ospite"
"Customweb_UnzerCw::American Express","American Express"
"Customweb_UnzerCw::Amount","Importo"
"Customweb_UnzerCw::Amount Incl. Tax","Importo tasse incluse"
"Customweb_UnzerCw::An unknown error occurred.","An unknown error occurred."
"Customweb_UnzerCw::An unkown error occurred.","An unkown error occurred."
"Customweb_UnzerCw::An unkown exception occurred: @message.","An unkown exception occurred: @message."
"Customweb_UnzerCw::Applied Interest Rate","Applied Interest Rate"
"Customweb_UnzerCw::Are you sure you want to cancel this order?","Sei sicuro di voler cancellare questo ordine?"
"Customweb_UnzerCw::Author","Autore"
"Customweb_UnzerCw::Authorization Amount","Importo autorizzazione"
"Customweb_UnzerCw::Authorization Failed","Autorizzazione non riuscita"
"Customweb_UnzerCw::Authorization Method","Metodo di autorizzazione"
"Customweb_UnzerCw::Authorization is uncertain.","Autorizzazione incerta"
"Customweb_UnzerCw::Authorize","Authorize"
"Customweb_UnzerCw::Authorized Status","Authorized Status"
"Customweb_UnzerCw::Await Notification","Attendi la notifica"
"Customweb_UnzerCw::Awaiting confirmation","In attesa di conferma"
"Customweb_UnzerCw::BIC","BIC"
"Customweb_UnzerCw::Bad signature format.","Bad signature format."
"Customweb_UnzerCw::Bank Location","Posizione della banca"
"Customweb_UnzerCw::Bank Name","Nome della banca"
"Customweb_UnzerCw::Bank account number","Numero IBAN"
"Customweb_UnzerCw::Bank code number","Numero del codice bancario"
"Customweb_UnzerCw::Before payment selection","Prima della selezione del pagamento"
"Customweb_UnzerCw::Billing Address","Billing Address"
"Customweb_UnzerCw::Billing Information","Dati di fatturazione"
"Customweb_UnzerCw::Billing address","indirizzo di fatturazione"
"Customweb_UnzerCw::Brand Name","Brand Name"
"Customweb_UnzerCw::By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store."
"Customweb_UnzerCw::CVC","CVC"
"Customweb_UnzerCw::CVC Code","Codice CVC"
"Customweb_UnzerCw::Cancel","Interrompere"
"Customweb_UnzerCw::Cancel ID","Cancel ID"
"Customweb_UnzerCw::Cancel pending orders when out of stock","Cancellare gli ordini pendenti quando fuori stock."
"Customweb_UnzerCw::Cancel status","Status di cancellazione"
"Customweb_UnzerCw::Canceled UnzerCw","____ModuleCamel___ annullato"
"Customweb_UnzerCw::Canceling of this payment not possible!","Questo pagamento non può essere cancellato!"
"Customweb_UnzerCw::Cancelled @amount using id @id.","Cancelled @amount using id @id."
"Customweb_UnzerCw::Cancelled Status","Cancelled Status"
"Customweb_UnzerCw::Cancelling @amount for charge with id @id.","Cancelling @amount for charge with id @id."
"Customweb_UnzerCw::Cannot update item quantity.","Impossibile aggiornare la quantità dell'articolo."
"Customweb_UnzerCw::Capture Amount","Capture Amount"
"Customweb_UnzerCw::Capture ID","Capture ID"
"Customweb_UnzerCw::Capture amount","Importo contabilizzato"
"Customweb_UnzerCw::Capture information","Informazione della contabilizzazione"
"Customweb_UnzerCw::Capture status","Status di registrazione"
"Customweb_UnzerCw::Capture: Don't Close","Registrazione: Non chiudere"
"Customweb_UnzerCw::Captured Amount","Importo riconosciuto"
"Customweb_UnzerCw::Captured Status","Captured Status"
"Customweb_UnzerCw::Captured amount (@captured) does not equal charged amount (@charged). Please check in your Unzer backend.","Captured amount (@captured) does not equal charged amount (@charged). Please check in your Unzer backend."
"Customweb_UnzerCw::Captures","Acquisizione"
"Customweb_UnzerCw::Captures & Refunds","Registrazioni & Rimborsi"
"Customweb_UnzerCw::Capturing","Contabilizzare"
"Customweb_UnzerCw::Card 3Ds","Card 3Ds"
"Customweb_UnzerCw::Card Brand","Card Brand"
"Customweb_UnzerCw::Card Expiration","Carta di data di scadenza"
"Customweb_UnzerCw::Card Expiry","Card Expiry"
"Customweb_UnzerCw::Card Holder Name","Titolari di carte"
"Customweb_UnzerCw::Card Number","Numero di carta"
"Customweb_UnzerCw::Carrier Title","Titolo del trasportatore"
"Customweb_UnzerCw::Charge @id for @amount received and processed.","Charge @id for @amount received and processed."
"Customweb_UnzerCw::Charge @id over @amount was created.","Charge @id over @amount was created."
"Customweb_UnzerCw::Charge ID","Charge ID"
"Customweb_UnzerCw::Check out faster","Effettua il checkout più velocemente"
"Customweb_UnzerCw::Check to activate the external checkout.","Selezionare questa opzione per attivare il checkout esterno."
"Customweb_UnzerCw::Checkout","Checkout"
"Customweb_UnzerCw::Checkout as Guest","Checkout come ospite"
"Customweb_UnzerCw::Checkout as a Guest or Register","Checkout come ospite o iscriviti"
"Customweb_UnzerCw::Checkout as a new customer","Effettua il checkout come nuovo cliente"
"Customweb_UnzerCw::Checkout using your account","Effettua il checkout utilizzando il tuo account"
"Customweb_UnzerCw::Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status","Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status"
"Customweb_UnzerCw::Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status. For captured payments, an invoice is always created.","Seleziona 'Creazione dopo l'ordine' se vuoi che la fattura venga creata. Lo status della fattura sarà impostato secondo lo status della registrazione. Per i pagamenti acquisiti, viene sempre creata una fattura."
"Customweb_UnzerCw::Code: '@code'","Code: '@code'"
"Customweb_UnzerCw::Commercial Register Number","Commercial Register Number"
"Customweb_UnzerCw::Commercial Sector","Commercial Sector"
"Customweb_UnzerCw::Company Commercial Number","Numero commerciale dell'azienda"
"Customweb_UnzerCw::Confirm Password","Conferma la password"
"Customweb_UnzerCw::Continue","Continua"
"Customweb_UnzerCw::Could not convert object of type '!type' to string.","Impossibile convertire l'oggetto di tipo '!type' in  string."
"Customweb_UnzerCw::Could not find a brand for the given card number.","Impossibile trovare un marchio in base al numero di carta fornito."
"Customweb_UnzerCw::Could not find pressed button.","Impossibile trovare il pulsante premuto."
"Customweb_UnzerCw::Could not find template file at default location '!location'.","Impossibile trovare il file template nella posizione di default '!location'."
"Customweb_UnzerCw::Could not find the payment method !paymentMethodName.","Impossibile trovare il metodo di pagamento !paymentMethodName."
"Customweb_UnzerCw::Could not load layout from URL !url. Reason: !reason","Impossibile caricare il layout dall' URL !url. motivo: !reason"
"Customweb_UnzerCw::Create Account","Crea un account"
"Customweb_UnzerCw::Create New Order - Payment","Crea un nuovo ordine - Pagamento"
"Customweb_UnzerCw::Create a recurring payment, with an existing alias is not supported","Create a recurring payment, with an existing alias is not supported"
"Customweb_UnzerCw::Created type is not recurring.","Created type is not recurring."
"Customweb_UnzerCw::Creating an account has many benefits:","I numerosi vantaggi di creare un account:"
"Customweb_UnzerCw::Creating new charge failed: @message.","Creating new charge failed: @message."
"Customweb_UnzerCw::Creation Date","Data di creazione"
"Customweb_UnzerCw::Credit Card Brands","Credit Card Brands"
"Customweb_UnzerCw::Credit Memo History","Credit Memo History"
"Customweb_UnzerCw::Credit Memo Totals","Credit Memo Totals"
"Customweb_UnzerCw::Credit memo's total must be positive.","Il totale di nota di credito deve essere positivo."
"Customweb_UnzerCw::Currency","Valuta"
"Customweb_UnzerCw::Current Configuration Scope:","Attuale ambito di configurazione:"
"Customweb_UnzerCw::Customer Account","Account cliente"
"Customweb_UnzerCw::Customer Alias Management","Gestione dell'Alias del cliente"
"Customweb_UnzerCw::Customer successfully returned from UnzerCw","Il cliente é tornato con successo da UnzerCw."
"Customweb_UnzerCw::Customer successfully returned from Unzer","Cliente rimandato con successo dalla pagina di pagamento ____ ModuleCamel____."
"Customweb_UnzerCw::Customer sucessfully returned from the UnzerCw payment page.","Customer sucessfully returned from the UnzerCw payment page."
"Customweb_UnzerCw::Customers","Clienti"
"Customweb_UnzerCw::Customweb","Customweb"
"Customweb_UnzerCw::Date","Data"
"Customweb_UnzerCw::Date of Birth","Data di nascita"
"Customweb_UnzerCw::Day","Giorno"
"Customweb_UnzerCw::Deactivate","Deactivate"
"Customweb_UnzerCw::Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Gentile cliente abbiamo ricevuto le sue informazioni  di  fatturazione e  spedizione. Per concludere il tuo ordine,  vai alla cassa, crea un nuovo accesso o effettua il checkout come ospite."
"Customweb_UnzerCw::Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Gentile cliente, il suo pagamento sembra andato a buon fine, tuttavia siamo ancora in attesa di conferma. Può aspettare su questa pagina e la reindirizzeremo dopo che avremo ricevuto la conferma. Oppure può chiudere questa finestra e le invieremo una e-mail di conferma dell'ordine."
"Customweb_UnzerCw::Default Config","Configurazione predefinita"
"Customweb_UnzerCw::Deferred (authorization)","Deferred (authorization)"
"Customweb_UnzerCw::Deferred capturing","Registrazione ritardata"
"Customweb_UnzerCw::Deferred settlement","Creazione ritardata"
"Customweb_UnzerCw::Define a maximal order total for this checkout to be available.","Definire un ordine totale massimo al fine che questo checkout sia disponibile."
"Customweb_UnzerCw::Define a minimal order total for this checkout to be available.","Definire un ordine totale minimo al fine che questo checkout sia disponibile."
"Customweb_UnzerCw::Delayed","Ritardato"
"Customweb_UnzerCw::Delete","Cancellare"
"Customweb_UnzerCw::Delivery address","Indirizzo di consegna"
"Customweb_UnzerCw::Description","Descrizione"
"Customweb_UnzerCw::Diners Club","Diners Club"
"Customweb_UnzerCw::Direct Charge","Direct Charge"
"Customweb_UnzerCw::Direct Debits","Direct Debits"
"Customweb_UnzerCw::Direct E-Banking","Direct E-Banking"
"Customweb_UnzerCw::Direct capture after order","Subito dopo l'acquisto"
"Customweb_UnzerCw::Directly after order (sale)","Directly after order (sale)"
"Customweb_UnzerCw::Disabled","Disattivato"
"Customweb_UnzerCw::Discount","Sconto"
"Customweb_UnzerCw::Discount Amount","Sconto"
"Customweb_UnzerCw::Do not send","Do not send"
"Customweb_UnzerCw::Don't change order status","Don't change order status"
"Customweb_UnzerCw::During authorization","Durante l'autorizzazione"
"Customweb_UnzerCw::Edit","Modifica"
"Customweb_UnzerCw::Edit Invoice %s","Modifica la fattura %s"
"Customweb_UnzerCw::Either enter your commercial register number, or all other fields which are displayed.","Either enter your commercial register number, or all other fields which are displayed."
"Customweb_UnzerCw::Element Size","Element Size"
"Customweb_UnzerCw::Email","Email"
"Customweb_UnzerCw::Email Address","Indirizzo email"
"Customweb_UnzerCw::Empty version number field name","Campo del numero vuoto"
"Customweb_UnzerCw::Enable or disable logging.","Attiva o disattiva logging."
"Customweb_UnzerCw::Enable the payment method","Attiva la modalità di pagamento"
"Customweb_UnzerCw::Enabled","Attivato"
"Customweb_UnzerCw::Enter the date on which your card expires.","Inserisci la data di scadenza della carta."
"Customweb_UnzerCw::Enter the public and private key received from Unzer.","Enter the public and private key received from Unzer."
"Customweb_UnzerCw::Enter the sector your company operates in, e.g. finance.","Enter the sector your company operates in, e.g. finance."
"Customweb_UnzerCw::Enter your email address.","Enter your email address."
"Customweb_UnzerCw::Enter your preferred salutation.","Enter your preferred salutation."
"Customweb_UnzerCw::Error with the length of the validation date.","Error with the length of the validation date."
"Customweb_UnzerCw::Excl. Tax","Escl. tasse"
"Customweb_UnzerCw::Expiry Date","Expiry Date"
"Customweb_UnzerCw::External Checkout","Checkout esterno"
"Customweb_UnzerCw::External Checkout: Guest Checkout","Checkout esterno: Checkout da ospite"
"Customweb_UnzerCw::Failed","Non andato a buon fine"
"Customweb_UnzerCw::Failed payment authorization.","L'autorizzazione é stata rifiutata."
"Customweb_UnzerCw::Figure !number:","Figure !number:"
"Customweb_UnzerCw::Forgot Your Password?","Hai dimenticato la password?"
"Customweb_UnzerCw::Forgot your password?","Hai dimenticato la password?"
"Customweb_UnzerCw::Get Update","Aggiorna"
"Customweb_UnzerCw::Here you can configure the merchant name which is displayed as part of the mandate text.","Here you can configure the merchant name which is displayed as part of the mandate text."
"Customweb_UnzerCw::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Customweb_UnzerCw::Here you can set a schema for the invoiceId parameter transmitted to identify the payment. If left empty it is not transmitted. The following placeholders can be used: {oid} for the order id, which may not be unique or set; {tid} for the sellxed transaction id which is a unique number, or {id} which contains the order id and is guaranteed to be unique.","Here you can set a schema for the invoiceId parameter transmitted to identify the payment. If left empty it is not transmitted. The following placeholders can be used: {oid} for the order id, which may not be unique or set; {tid} for the sellxed transaction id which is a unique number, or {id} which contains the order id and is guaranteed to be unique."
"Customweb_UnzerCw::Here you can set a schema for the orderId parameter transmitted to identify the payment. If left empty it is not transmitted. The following placeholders can be used: {oid} for the order id, which may not be unique or set; {tid} for the sellxed transaction id which is a unique number, or {id} which contains the order id and is guaranteed to be unique.","Here you can set a schema for the orderId parameter transmitted to identify the payment. If left empty it is not transmitted. The following placeholders can be used: {oid} for the order id, which may not be unique or set; {tid} for the sellxed transaction id which is a unique number, or {id} which contains the order id and is guaranteed to be unique."
"Customweb_UnzerCw::Here you can set a schema for the paymentReference parameter transmitted to identify the payment. If left empty it is not transmitted. The following placeholders can be used: {oid} for the order id, which may not be unique or set; {tid} for the sellxed transaction id which is a unique number, or {id} which contains the order id and is guaranteed to be unique.","Here you can set a schema for the paymentReference parameter transmitted to identify the payment. If left empty it is not transmitted. The following placeholders can be used: {oid} for the order id, which may not be unique or set; {tid} for the sellxed transaction id which is a unique number, or {id} which contains the order id and is guaranteed to be unique."
"Customweb_UnzerCw::Hide","Nascondi"
"Customweb_UnzerCw::How should elements from Unzer be loaded? With narrow elements the element label is displayed by the store, with wide elements it is loaded via javascript by Unzer. The input elements are always loaded from Unzer.","How should elements from Unzer be loaded? With narrow elements the element label is displayed by the store, with wide elements it is loaded via javascript by Unzer. The input elements are always loaded from Unzer."
"Customweb_UnzerCw::IBAN","IBAN"
"Customweb_UnzerCw::IBAN number","Numero IBAN"
"Customweb_UnzerCw::If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","Se é rimasto un solo pezzo in magazzino e il pagamento del cliente che vuole comprare questo prodotto fallisce, il prodotto sarà riservato fino a quando l'ordine é cancellato (vedere l'opzione Timeout). Attivare questa opzione se si desidera che il prodotto NON sia riservato e che l'ordine con un pagamento non riuscito sia immediatamente annullato."
"Customweb_UnzerCw::If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled.","Se un prodotto è disponibile solo una volta e il pagamento dell'ordine cliente il prodotto non riesce o viene interrotta, non sarà disponibile fino a quando l'ordine viene annullato (guarda l'opzione di timeout di seguito). Attiva questa impostazione per annullare gli ordini in attesa del cliente quando torna alla pagina del carrello e di un prodotto non è più disponibile. Attenzione, però: se si attiva questa opzione, c'è una possibilità che i pagamenti vengano effettuati con l'ordine corrispondente che é già stato annullato."
"Customweb_UnzerCw::If it is not applicable leave the field empty.","Se non é possibile lasciare il campo vuoto."
"Customweb_UnzerCw::If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","Se lo stato é 'in sospeso' non é chiaro se la transazione verrà annullata correttamente."
"Customweb_UnzerCw::If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","Se lo stato é 'In sospeso' non é chiaro se la transazione sarà registrata con successo."
"Customweb_UnzerCw::If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","Se lo stato é 'In sospeso' non é chiaro se la transazione sarà rimborsata con successo."
"Customweb_UnzerCw::If the test mode is selected the test account is used. Otherwise the configured account is used.","If the test mode is selected the test account is used. Otherwise the configured account is used."
"Customweb_UnzerCw::If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","Se hai problemi con il modulo non esitare a contattarci. Controlla anche <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> per ulteriori informazioni."
"Customweb_UnzerCw::If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>.","Se si desidera utilizzare pagamenti ricorrenti, è necessario il modulo di Magento ""abbonamento CustomWeb "". Per ulteriori informazioni visitare <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>."
"Customweb_UnzerCw::Image Brand Selection","Image Brand Selection"
"Customweb_UnzerCw::In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited.","In alcuni casi possono volerci alcuni secondi prima che la transazione sia autorizzata con successo. Quando l'opzione é attivata, la notifica arriva dopo qualche secondo."
"Customweb_UnzerCw::In some cases payment methods may use separate keys. If this is the case, add the keys found in the Unzer backend to the payment method configuration in your store.","In some cases payment methods may use separate keys. If this is the case, add the keys found in the Unzer backend to the payment method configuration in your store."
"Customweb_UnzerCw::In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation.","In alcuni casi l'operazione richiede alcuni secondi prima di essere autorizzata. Quando questa opzione è abilitata l'utente è trattenuto fino a quando la transazione non é andato a buon fine. Se questo non è il caso in 30 secondi viene visualizzato un messaggio al cliente che spiega la situazione."
"Customweb_UnzerCw::Inactive","Inactive"
"Customweb_UnzerCw::Incl. Tax","Incl. tasse"
"Customweb_UnzerCw::Information","Informazione"
"Customweb_UnzerCw::Invalid login or password.","Login o password non validi."
"Customweb_UnzerCw::Invoice Items","Articoli fattura"
"Customweb_UnzerCw::Invoice Settlement","Pagamento della fattura"
"Customweb_UnzerCw::Invoice Totals","Totali della fattura"
"Customweb_UnzerCw::Invoice settlement","Creazione della fattura"
"Customweb_UnzerCw::Invoice was created successfully","La fattura é stato creata con successo."
"Customweb_UnzerCw::InvoiceID Schema","InvoiceID Schema"
"Customweb_UnzerCw::Invoices","Fatture"
"Customweb_UnzerCw::Issue Number","Numero Issue"
"Customweb_UnzerCw::Issuer","Issuer"
"Customweb_UnzerCw::It is not possible to checkout in your country.","Non é possibile effettuare il checkout nel tuo paese."
"Customweb_UnzerCw::Item","Articolo"
"Customweb_UnzerCw::Items","Articoli"
"Customweb_UnzerCw::Items Refunded","Articoli rimborsati"
"Customweb_UnzerCw::JCB","JCB"
"Customweb_UnzerCw::Live","Live"
"Customweb_UnzerCw::Live HMAC Key","Live HMAC Key"
"Customweb_UnzerCw::Live Identifier (PBX_IDENTIFIANT)","Live Identifier (PBX_IDENTIFIANT)"
"Customweb_UnzerCw::Live Mode","Live Mode"
"Customweb_UnzerCw::Live Password","Live Password"
"Customweb_UnzerCw::Live Rang (PBX_RANG)","Live Rang (PBX_RANG)"
"Customweb_UnzerCw::Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Customweb_UnzerCw::Logging","Logging"
"Customweb_UnzerCw::Login","Login"
"Customweb_UnzerCw::Login & Register","Login & Registrati"
"Customweb_UnzerCw::Login and password are required.","Login e password richiesti."
"Customweb_UnzerCw::Mail order/telephone order authorization","Autorizzazione degli ordini via eMail/telefono"
"Customweb_UnzerCw::Manage Stores","Gestire negozi"
"Customweb_UnzerCw::Manage Unzer Aliases","Gestisci gli alias Unzer"
"Customweb_UnzerCw::Mandate","Mandate"
"Customweb_UnzerCw::MasterCard","MasterCard"
"Customweb_UnzerCw::Maximum Order Total","Totale massimo dell'ordine"
"Customweb_UnzerCw::Merchant name","Merchant name"
"Customweb_UnzerCw::Message","Notifica"
"Customweb_UnzerCw::Method Title","Titolo del metodo"
"Customweb_UnzerCw::Minimum Order Total","Minimo per il totale dell'ordine"
"Customweb_UnzerCw::Month","Mese"
"Customweb_UnzerCw::Mr","Mr"
"Customweb_UnzerCw::Mrs","Mrs"
"Customweb_UnzerCw::My Unzer Aliases","I miei Alias Unzer"
"Customweb_UnzerCw::Narrow (label from shop)","Narrow (label from shop)"
"Customweb_UnzerCw::New Order","Nuovo ordine"
"Customweb_UnzerCw::New Order Status","Nuovo stato dell'ordine"
"Customweb_UnzerCw::New card","Nuova carta"
"Customweb_UnzerCw::Next Update Execution Date","Data del prossimo aggiornamento"
"Customweb_UnzerCw::No","No"
"Customweb_UnzerCw::No Items","Nessun articolo"
"Customweb_UnzerCw::No additional payment information available.","Nessuna informazione di pagamento supplementare."
"Customweb_UnzerCw::No authorization method found for payment method !method.","Nessun metodo di autorizzazione trovato per il pagamento !method."
"Customweb_UnzerCw::No button returned.","Nessun tasto fornito."
"Customweb_UnzerCw::No refund possible.","Nessun rimborso possibile"
"Customweb_UnzerCw::No shipping method needed.","Nessun metodo di spedizione necessario."
"Customweb_UnzerCw::No, use the dropdown.","No, use the dropdown."
"Customweb_UnzerCw::Only an authorized transaction can be marked as finally declined.","Solo una transazione autorizzata può essere contrassegnata come Rifiutata."
"Customweb_UnzerCw::Only an uncertain transaction can be marked as finally declined.","Solo una transazione incerta può essere contrassegnata  Rifiutata."
"Customweb_UnzerCw::Only authorized transaction can be cancelled.","Solo le transazioni autorizzate possono essere cancellate."
"Customweb_UnzerCw::Only authorized transaction can be captured.","Solo le transazioni autorizzate possono essere registrate."
"Customweb_UnzerCw::Only authorized transaction can be refunded.","Solo transazioni autorizzate possono essere rimborsate."
"Customweb_UnzerCw::Only captured transaction can be refunded.","Solo le transazioni registrate possono essere rimborsate."
"Customweb_UnzerCw::Only on captured transaction the flag customer refusing to pay can be set.","E ' possibile impostare un flag per i clienti che non hanno pagato solo sulle transazioni registrate."
"Customweb_UnzerCw::Operation Mode","Operation Mode"
"Customweb_UnzerCw::Operation mode of the shop.","Operation mode of the shop."
"Customweb_UnzerCw::Order #","Numero d'ordine"
"Customweb_UnzerCw::Order Grand Total","Totale complessivo dell'ordine"
"Customweb_UnzerCw::Order Information","Informazioni sull'ordine"
"Customweb_UnzerCw::Order Prefix","Order Prefix"
"Customweb_UnzerCw::Order Review","Controllo ordine"
"Customweb_UnzerCw::Order Summary","Riassunto dell'ordine"
