"Customweb_UnzerCw::!label (Live)","!label (Live)"
"Customweb_UnzerCw::After payment selection","After payment method selection"
"Customweb_UnzerCw::Ajax authorization not supported.","Ajax authorization not supported"
"Customweb_UnzerCw::Alias","Alias"
"Customweb_UnzerCw::Alias For Display","Alias For Display"
"Customweb_UnzerCw::All Customers","All Customers"
"Customweb_UnzerCw::Allowed Currencies","Allowed currencies"
"Customweb_UnzerCw::Allowed currencies for this payment method","Permitted currencies for this payment method"
"Customweb_UnzerCw::Already registered?","Already registered?"
"Customweb_UnzerCw::Always Checkout as Guest","Always Checkout as Guest"
"Customweb_UnzerCw::American Express","American Express"
"Customweb_UnzerCw::Amount","Amount"
"Customweb_UnzerCw::Amount Incl. Tax","Amount Incl. Tax"
"Customweb_UnzerCw::An unknown error occurred.","An unknown error occurred."
"Customweb_UnzerCw::An unkown error occurred.","An unkown error occurred."
"Customweb_UnzerCw::An unkown exception occurred: @message.","An unkown exception occurred: @message."
"Customweb_UnzerCw::Applied Interest Rate","Applied Interest Rate"
"Customweb_UnzerCw::Are you sure you want to cancel this order?","Are you sure you want to cancel this order?"
"Customweb_UnzerCw::Author","Author"
"Customweb_UnzerCw::Authorization Amount","Authorisation Amount"
"Customweb_UnzerCw::Authorization Failed","Authorisation failed"
"Customweb_UnzerCw::Authorization Method","Authorisation Method"
"Customweb_UnzerCw::Authorization is uncertain.","Authorisation is uncertain"
"Customweb_UnzerCw::Authorize","Authorize"
"Customweb_UnzerCw::Authorized Status","Authorised status"
"Customweb_UnzerCw::Await Notification","Await Notification"
"Customweb_UnzerCw::Awaiting confirmation","Awaiting confirmation"
"Customweb_UnzerCw::BIC","BIC"
"Customweb_UnzerCw::Bad signature format.","False signature format."
"Customweb_UnzerCw::Bank Location","Bank Location"
"Customweb_UnzerCw::Bank Name","Bank Name"
"Customweb_UnzerCw::Bank account number","Bank account number (IBAN)"
"Customweb_UnzerCw::Bank code number","Bank code number"
"Customweb_UnzerCw::Before payment selection","Before selection of the payment method"
"Customweb_UnzerCw::Billing Address","Billing Address"
"Customweb_UnzerCw::Billing Information","Billing information"
"Customweb_UnzerCw::Billing address","Billing address"
"Customweb_UnzerCw::Brand Name","Brand Name"
"Customweb_UnzerCw::By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","With the capture setting, the transaction can be captured directly after the order or later manually over the backend of the store."
"Customweb_UnzerCw::CVC","CVC"
"Customweb_UnzerCw::CVC Code","CVC Code"
"Customweb_UnzerCw::Cancel","Cancel"
"Customweb_UnzerCw::Cancel ID","Cancel ID"
"Customweb_UnzerCw::Cancel pending orders when out of stock","Cancel pending orders when out of stock"
"Customweb_UnzerCw::Cancel status","Cancel status"
"Customweb_UnzerCw::Canceled UnzerCw","Canceled UnzerCw"
"Customweb_UnzerCw::Canceling of this payment not possible!","Cancellation of this payment not possible!"
"Customweb_UnzerCw::Cancelled @amount using id @id.","Cancelled @amount using id @id."
"Customweb_UnzerCw::Cancelled Status","Cancelled status"
"Customweb_UnzerCw::Cancelling @amount for charge with id @id.","Cancelling @amount for charge with id @id."
"Customweb_UnzerCw::Cannot update item quantity.","Cannot update item quantity."
"Customweb_UnzerCw::Capture Amount","Amount to capture"
"Customweb_UnzerCw::Capture ID","Capture ID"
"Customweb_UnzerCw::Capture amount","Capture amount"
"Customweb_UnzerCw::Capture information","Capture information"
"Customweb_UnzerCw::Capture status","Capture status"
"Customweb_UnzerCw::Capture: Don't Close","Capture: Don't close"
"Customweb_UnzerCw::Captured Amount","Captured amount"
"Customweb_UnzerCw::Captured Status","Captured status"
"Customweb_UnzerCw::Captured amount (@captured) does not equal charged amount (@charged). Please check in your Unzer backend.","The captured amount (@captured) does not equal to the charged amount (@charged). Please check it in your Unzer backend."
"Customweb_UnzerCw::Captures","Captures"
"Customweb_UnzerCw::Captures & Refunds","Captures & Refunds"
"Customweb_UnzerCw::Capturing","Capturing"
"Customweb_UnzerCw::Card 3Ds","Card 3Ds"
"Customweb_UnzerCw::Card Brand","Card Brand"
"Customweb_UnzerCw::Card Expiration","Expiry Date"
"Customweb_UnzerCw::Card Expiry","Card Expiry"
"Customweb_UnzerCw::Card Holder Name","Card holder name"
"Customweb_UnzerCw::Card Number","Card number"
"Customweb_UnzerCw::Carrier Title","Carrier Title"
"Customweb_UnzerCw::Charge @id for @amount received and processed.","Charge @id for @amount received and processed."
"Customweb_UnzerCw::Charge @id over @amount was created.","Charge @id over @amount was created."
"Customweb_UnzerCw::Charge ID","Charge ID"
"Customweb_UnzerCw::Check out faster","Check out faster"
"Customweb_UnzerCw::Check to activate the external checkout.","Check to activate the external checkout."
"Customweb_UnzerCw::Checkout","Checkout"
"Customweb_UnzerCw::Checkout as Guest","Checkout as a guest"
"Customweb_UnzerCw::Checkout as a Guest or Register","Checkout as a guest or register"
"Customweb_UnzerCw::Checkout as a new customer","Checkout as a new customer"
"Customweb_UnzerCw::Checkout using your account","Checkout using your account"
"Customweb_UnzerCw::Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status","Choose settlement after order in case you want an invoice to be created with your order. The status of the invoice will be set according to your specified capture status."
"Customweb_UnzerCw::Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status. For captured payments, an invoice is always created.","Choose settlement after order in case you want an invoice to be created with your order. The status of the invoice will be set according to your specified capture status. For captured payments, an invoice is always created."
"Customweb_UnzerCw::Code: '@code'","Code: '@code'"
"Customweb_UnzerCw::Commercial Register Number","Commercial Register Number"
"Customweb_UnzerCw::Commercial Sector","Commercial Sector"
"Customweb_UnzerCw::Company Commercial Number","Company Commercial Number"
"Customweb_UnzerCw::Confirm Password","Confirm Password"
"Customweb_UnzerCw::Continue","Continue"
"Customweb_UnzerCw::Could not convert object of type '!type' to string.","Could not convert object of type '!type' to string."
"Customweb_UnzerCw::Could not find a brand for the given card number.","Could not find a brand for the given card number."
"Customweb_UnzerCw::Could not find pressed button.","Could not find pressed button."
"Customweb_UnzerCw::Could not find template file at default location '!location'.","Could not find template file at default location '!location'."
"Customweb_UnzerCw::Could not find the payment method !paymentMethodName.","Could not find the payment method !paymentMethodName."
"Customweb_UnzerCw::Could not load layout from URL !url. Reason: !reason","Could not load layout from URL !url. Reason: !reason"
"Customweb_UnzerCw::Create Account","Create Account"
"Customweb_UnzerCw::Create New Order - Payment","Create New Order - Payment"
"Customweb_UnzerCw::Create a recurring payment, with an existing alias is not supported","Creating a recurring payment with an existing alias is not supported."
"Customweb_UnzerCw::Created type is not recurring.","Created type is not recurring."
"Customweb_UnzerCw::Creating an account has many benefits:","Creating an account has many benefits:"
"Customweb_UnzerCw::Creating new charge failed: @message.","Creating new charge failed: @message."
"Customweb_UnzerCw::Creation Date","Creation Date"
"Customweb_UnzerCw::Credit Card Brands","Credit Card Brands"
"Customweb_UnzerCw::Credit Memo History","Credit Memo History"
"Customweb_UnzerCw::Credit Memo Totals","Credit Memo Totals"
"Customweb_UnzerCw::Credit memo's total must be positive.","Credit memo's total must be positive."
"Customweb_UnzerCw::Currency","Currency"
"Customweb_UnzerCw::Current Configuration Scope:","Current Configuration Scope:"
"Customweb_UnzerCw::Customer Account","Customer account"
"Customweb_UnzerCw::Customer Alias Management","Customer Alias Management"
"Customweb_UnzerCw::Customer successfully returned from UnzerCw","Customer successfully returned from UnzerCw"
"Customweb_UnzerCw::Customer successfully returned from Unzer","Customer successfully returned from the UnzerCw payment page."
"Customweb_UnzerCw::Customer sucessfully returned from the UnzerCw payment page.","Customer successfully returned from the UnzerCw payment page."
"Customweb_UnzerCw::Customers","Customers"
"Customweb_UnzerCw::Customweb","Customweb"
"Customweb_UnzerCw::Date","Date"
"Customweb_UnzerCw::Date of Birth","Date of birth"
"Customweb_UnzerCw::Day","Day"
"Customweb_UnzerCw::Deactivate","Deactivate"
"Customweb_UnzerCw::Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Dear customer we have received your billing and shipping information. In order to finalize your order please create an account below or checkout as a guest."
"Customweb_UnzerCw::Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email."
"Customweb_UnzerCw::Default Config","Default Configuration"
"Customweb_UnzerCw::Deferred (authorization)","Deferred (authorisation)"
"Customweb_UnzerCw::Deferred capturing","Deferred capturing"
"Customweb_UnzerCw::Deferred settlement","Deferred settlement"
"Customweb_UnzerCw::Define a maximal order total for this checkout to be available.","Define a maximal order total for this checkout to be available."
"Customweb_UnzerCw::Define a minimal order total for this checkout to be available.","Define a minimal order total for this checkout to be available."
"Customweb_UnzerCw::Delayed","Deferred"
"Customweb_UnzerCw::Delete","Delete"
"Customweb_UnzerCw::Delivery address","Delivery address"
"Customweb_UnzerCw::Description","Description"
"Customweb_UnzerCw::Diners Club","Diners Club"
"Customweb_UnzerCw::Direct Charge","Direct Charge"
"Customweb_UnzerCw::Direct Debits","Direct Debits (ELV)"
"Customweb_UnzerCw::Direct E-Banking","Direct E-Banking"
"Customweb_UnzerCw::Direct capture after order","Direct capturing"
"Customweb_UnzerCw::Directly after order (sale)","Direct capturing"
"Customweb_UnzerCw::Disabled","Deactivated"
"Customweb_UnzerCw::Discount","Discount"
"Customweb_UnzerCw::Discount Amount","Discount Amount"
"Customweb_UnzerCw::Do not send","Do not send"
"Customweb_UnzerCw::Don't change order status","Don't change order status"
"Customweb_UnzerCw::During authorization","During the authorisation"
"Customweb_UnzerCw::Edit","Edit"
"Customweb_UnzerCw::Edit Invoice %s","Edit Invoice %s"
"Customweb_UnzerCw::Either enter your commercial register number, or all other fields which are displayed.","Either enter your commercial register number, or all other fields which are displayed."
"Customweb_UnzerCw::Element Size","Element Size"
"Customweb_UnzerCw::Email","Email"
"Customweb_UnzerCw::Email Address","Email Address"
"Customweb_UnzerCw::Empty version number field name","Empty version number field name"
"Customweb_UnzerCw::Enable or disable logging.","Enable or disable logging."
"Customweb_UnzerCw::Enable the payment method","Enable this payment method"
"Customweb_UnzerCw::Enabled","Enabled"
"Customweb_UnzerCw::Enter the date on which your card expires.","Enter the card expiry date."
"Customweb_UnzerCw::Enter the public and private key received from Unzer.","Enter the public and private key received from Unzer."
"Customweb_UnzerCw::Enter the sector your company operates in, e.g. finance.","Enter the sector your company operates in, e.g. finance."
"Customweb_UnzerCw::Enter your email address.","Enter your email address."
"Customweb_UnzerCw::Enter your preferred salutation.","Enter your preferred salutation."
"Customweb_UnzerCw::Error with the length of the validation date.","Error with the length of the validation date."
"Customweb_UnzerCw::Excl. Tax","Excl. Tax"
"Customweb_UnzerCw::Expiry Date","Expiry Date"
"Customweb_UnzerCw::External Checkout","External Checkout"
"Customweb_UnzerCw::External Checkout: Guest Checkout","External Checkout: Guest Checkout"
"Customweb_UnzerCw::Failed","Failed"
"Customweb_UnzerCw::Failed payment authorization.","The authorization failed."
"Customweb_UnzerCw::Figure !number:","Figure !number:"
"Customweb_UnzerCw::Forgot Your Password?","Forgot Your Password?"
"Customweb_UnzerCw::Forgot your password?","Forgot your password?"
"Customweb_UnzerCw::Get Update","Get Update"
"Customweb_UnzerCw::Here you can configure the merchant name which is displayed as part of the mandate text.","Here you can configure the merchant name which is displayed as part of the mandate text."
"Customweb_UnzerCw::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Unzer. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Customweb_UnzerCw::Here you can set a schema for the invoiceId parameter transmitted to identify the payment. If left empty it is not transmitted. The following placeholders can be used: {oid} for the order id, which may not be unique or set; {tid} for the sellxed transaction id which is a unique number, or {id} which contains the order id and is guaranteed to be unique.","Here you can set a schema for the invoiceId parameter transmitted to identify the payment. If left empty it is not transmitted. The following placeholders can be used: {oid} for the order id, which may not be unique or set; {tid} for the sellxed transaction id which is a unique number, or {id} which contains the order id and is guaranteed to be unique."
"Customweb_UnzerCw::Here you can set a schema for the orderId parameter transmitted to identify the payment. If left empty it is not transmitted. The following placeholders can be used: {oid} for the order id, which may not be unique or set; {tid} for the sellxed transaction id which is a unique number, or {id} which contains the order id and is guaranteed to be unique.","Here you can set a schema for the orderId parameter transmitted to identify the payment. If left empty it is not transmitted. The following placeholders can be used: {oid} for the order id, which may not be unique or set; {tid} for the sellxed transaction id which is a unique number, or {id} which contains the order id and is guaranteed to be unique."
"Customweb_UnzerCw::Here you can set a schema for the paymentReference parameter transmitted to identify the payment. If left empty it is not transmitted. The following placeholders can be used: {oid} for the order id, which may not be unique or set; {tid} for the sellxed transaction id which is a unique number, or {id} which contains the order id and is guaranteed to be unique.","Here you can set a schema for the paymentReference parameter transmitted to identify the payment. If left empty it is not transmitted. The following placeholders can be used: {oid} for the order id, which may not be unique or set; {tid} for the sellxed transaction id which is a unique number, or {id} which contains the order id and is guaranteed to be unique."
"Customweb_UnzerCw::Hide","Hide"
"Customweb_UnzerCw::How should elements from Unzer be loaded? With narrow elements the element label is displayed by the store, with wide elements it is loaded via javascript by Unzer. The input elements are always loaded from Unzer.","How should elements from Unzer be loaded? With narrow elements the element label is displayed by the store, with wide elements it is loaded via javascript by Unzer. The input elements are always loaded from Unzer."
"Customweb_UnzerCw::IBAN","IBAN"
"Customweb_UnzerCw::IBAN number","Bank account number (IBAN)"
"Customweb_UnzerCw::If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, the item will be reserved until the payment is cancelled (see timeout option below). Activate this option if you do NOT wish to reserve the item in case of an aborted or failed payment. The order will then be cancelled immediately."
"Customweb_UnzerCw::If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled.","If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order already being canceled."
"Customweb_UnzerCw::If it is not applicable leave the field empty.","If it is not applicable leave the field empty."
"Customweb_UnzerCw::If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully."
"Customweb_UnzerCw::If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","If the status is 'Pending' it is unclear whether the transaction will be captured successfully."
"Customweb_UnzerCw::If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","If the status is 'Pending' it is unclear whether the transaction will be refunded successfully."
"Customweb_UnzerCw::If the test mode is selected the test account is used. Otherwise the configured account is used.","If the test mode is selected the test account is used. Otherwise the configured account is used."
"Customweb_UnzerCw::If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information."
"Customweb_UnzerCw::If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>.","If you would like to use recurring payments, you need our Magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>."
"Customweb_UnzerCw::Image Brand Selection","Image Brand Selection"
"Customweb_UnzerCw::In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited.","In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited."
"Customweb_UnzerCw::In some cases payment methods may use separate keys. If this is the case, add the keys found in the Unzer backend to the payment method configuration in your store.","In some cases payment methods may use separate keys. If this is the case, add the keys found in the Unzer backend to the payment method configuration in your store."
"Customweb_UnzerCw::In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation.","In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is on hold until the transaction reaches the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation."
"Customweb_UnzerCw::Inactive","Inactive"
"Customweb_UnzerCw::Incl. Tax","Incl. Tax"
"Customweb_UnzerCw::Information","Information"
"Customweb_UnzerCw::Invalid login or password.","Invalid login or password."
"Customweb_UnzerCw::Invoice Items","Invoice Items"
"Customweb_UnzerCw::Invoice Settlement","Invoice Settlement"
"Customweb_UnzerCw::Invoice Totals","Invoice Totals"
"Customweb_UnzerCw::Invoice settlement","Invoice settlement"
"Customweb_UnzerCw::Invoice was created successfully","Invoice was successfully created"
"Customweb_UnzerCw::InvoiceID Schema","InvoiceID Schema"
"Customweb_UnzerCw::Invoices","Invoices"
"Customweb_UnzerCw::Issue Number","Issue Number"
"Customweb_UnzerCw::Issuer","Issuer"
"Customweb_UnzerCw::It is not possible to checkout in your country.","It is not possible to checkout in your country."
"Customweb_UnzerCw::Item","Item"
"Customweb_UnzerCw::Items","Items"
"Customweb_UnzerCw::Items Refunded","Items Refunded"
"Customweb_UnzerCw::JCB","JCB"
"Customweb_UnzerCw::Live","Live"
"Customweb_UnzerCw::Live HMAC Key","Live HMAC Key"
"Customweb_UnzerCw::Live Identifier (PBX_IDENTIFIANT)","Live Identifier (PBX_IDENTIFIANT)"
"Customweb_UnzerCw::Live Mode","Live Mode"
"Customweb_UnzerCw::Live Password","Live Password"
"Customweb_UnzerCw::Live Rang (PBX_RANG)","Live Rang (PBX_RANG)"
"Customweb_UnzerCw::Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Customweb_UnzerCw::Logging","Logging"
"Customweb_UnzerCw::Login","Login"
"Customweb_UnzerCw::Login & Register","Login & Register"
"Customweb_UnzerCw::Login and password are required.","Login and password are required."
"Customweb_UnzerCw::Mail order/telephone order authorization","Mail order/telephone order authorization"
"Customweb_UnzerCw::Manage Stores","Manage Stores"
"Customweb_UnzerCw::Manage Unzer Aliases","Manage Unzer Aliases"
"Customweb_UnzerCw::Mandate","Mandate"
"Customweb_UnzerCw::MasterCard","MasterCard"
"Customweb_UnzerCw::Maximum Order Total","Maximal order total"
"Customweb_UnzerCw::Merchant name","Merchant name"
"Customweb_UnzerCw::Message","Message"
"Customweb_UnzerCw::Method Title","Method Title"
"Customweb_UnzerCw::Minimum Order Total","Minimum order total"
"Customweb_UnzerCw::Month","Month"
"Customweb_UnzerCw::Mr","Mr"
"Customweb_UnzerCw::Mrs","Mrs"
"Customweb_UnzerCw::My Unzer Aliases","My Unzer Aliases"
"Customweb_UnzerCw::Narrow (label from shop)","Narrow (label from shop)"
"Customweb_UnzerCw::New Order","New Ordern"
"Customweb_UnzerCw::New Order Status","New order status"
"Customweb_UnzerCw::New card","New card"
"Customweb_UnzerCw::Next Update Execution Date","Next Update Execution Date"
"Customweb_UnzerCw::No","No"
"Customweb_UnzerCw::No Items","No Items"
"Customweb_UnzerCw::No additional payment information available.","No additional payment information available"
"Customweb_UnzerCw::No authorization method found for payment method !method.","No authorization method found for payment method !method."
"Customweb_UnzerCw::No button returned.","No button returned."
"Customweb_UnzerCw::No refund possible.","No refund possible"
"Customweb_UnzerCw::No shipping method needed.","No shipping method needed."
"Customweb_UnzerCw::No, use the dropdown.","No, use the dropdown menu."
"Customweb_UnzerCw::Only an authorized transaction can be marked as finally declined.","Only authorized transactions can be marked as finally declined."
"Customweb_UnzerCw::Only an uncertain transaction can be marked as finally declined.","Only uncertain transactions can be marked as finally declined."
"Customweb_UnzerCw::Only authorized transaction can be cancelled.","Only authorised transaction can be cancelled."
"Customweb_UnzerCw::Only authorized transaction can be captured.","Only authorised transactions can be captured."
"Customweb_UnzerCw::Only authorized transaction can be refunded.","Only authorised transaction can be refunded."
"Customweb_UnzerCw::Only captured transaction can be refunded.","Only captured transaction can be refunded."
"Customweb_UnzerCw::Only on captured transaction the flag customer refusing to pay can be set.","It is only possible to set a flag for customers refusing to pay on captured transactions."
"Customweb_UnzerCw::Operation Mode","Operation mode"
"Customweb_UnzerCw::Operation mode of the shop.","Operation mode of the shop."
"Customweb_UnzerCw::Order #","Order Number"
"Customweb_UnzerCw::Order Grand Total","Order Grand Total"
"Customweb_UnzerCw::Order Information","Order Information"
"Customweb_UnzerCw::Order Prefix","Order Prefix"
"Customweb_UnzerCw::Order Review","Order Review"
"Customweb_UnzerCw::Order Summary","Order Summary"
"Customweb_UnzerCw::Order Total","Order total"
"Customweb_UnzerCw::Order cancelled, because the customer was too long in the payment process of Unzer.","Order cancelled because the customer was in the payment process of Unzer for too long."
"Customweb_UnzerCw::Order was placed using %s","Order was placed using %s"
"Customweb_UnzerCw::OrderId Schema","OrderId Schema"
"Customweb_UnzerCw::Orders","Orders"
"Customweb_UnzerCw::Orders with with payments that are longer pending than the specified timeout in minutes are cancelled automatically.","Orders, with payments that have been pending for longer than the specified time-out in minutes, are cancelled automatically. To use this feature you have to setup the Magento cron."
"Customweb_UnzerCw::Paid Amount","Paid Amount"
"Customweb_UnzerCw::Partial refund not possible. You may retry with the total transaction amount.","Partial refund not possible. The sum is larger than the total captured amount."
"Customweb_UnzerCw::Password","Password"
"Customweb_UnzerCw::Password and password confirmation are not equal.","""Password"" and ""Password Confirmation"" don't match."
"Customweb_UnzerCw::Pay with ____paymentMethodName____","Pay with ____paymentMethodName____"
"Customweb_UnzerCw::Payment","Payment"
"Customweb_UnzerCw::Payment Failed","Payment Failed"
"Customweb_UnzerCw::Payment ID","Payment ID"
"Customweb_UnzerCw::Payment Id","Payment ID"
"Customweb_UnzerCw::Payment Information","Payment Information"
"Customweb_UnzerCw::Payment Method","Payment Method"
"Customweb_UnzerCw::Payment captured successfully.","Payment captured successfully"
"Customweb_UnzerCw::Payment could not be authorized. Cancelling order. Reason : ","Payment could not be authorised. Order is being cancelled for the reason:"
"Customweb_UnzerCw::Payment details can be entered after placing the order","Payment details can be entered after placing the order"
"Customweb_UnzerCw::Payment from Applicable Countries","Payment from applicable countries"
"Customweb_UnzerCw::Payment from Specific Countries","Payment from specific countries"
"Customweb_UnzerCw::Payment from applicable countries","Payment from applicable countries"
"Customweb_UnzerCw::Payment from specific countries","Payment from specific countries"
"Customweb_UnzerCw::Payment is pending at UnzerCw","Payment is pending with UnzerCw"
"Customweb_UnzerCw::Payment method description","Payment method description"
"Customweb_UnzerCw::Payment with %s","Payment with %s"
"Customweb_UnzerCw::Payment with Unzer","Payment with Unzer"
"Customweb_UnzerCw::PaymentReference Schema","PaymentReference Schema"
"Customweb_UnzerCw::Payments may be updated periodically (interval in minutes). To use this feature you have to setup magento cron","The state of the payment will be be updated periodically (interval in minutes) via API if activated. To use this feature you have to setup Magento cron."
"Customweb_UnzerCw::Pending","Pending"
"Customweb_UnzerCw::Pending UnzerCw","Pending UnzerCw"
"Customweb_UnzerCw::Place Order","Place Order"
"Customweb_UnzerCw::Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Customweb_UnzerCw::Please check the entered CVC number.","Please check the entered CVC number."
"Customweb_UnzerCw::Please check the entered credit card number.","Please check the entered credit card number."
"Customweb_UnzerCw::Please check your inputs to ensure all company required fields are present.","Please check your inputs to ensure all company required fields are present."
"Customweb_UnzerCw::Please enter here the Bank Identifier Code (BIC).","Please enter here the Bank Identifier Code (BIC)."
"Customweb_UnzerCw::Please enter here the CVC code from your card. You find the code on the back of the card.","Please enter the CVC code from your card. You can find the code on the back of the card."
"Customweb_UnzerCw::Please enter here the International Bank Account Number (IBAN).","Please enter here the International Bank Account Number (IBAN)."
