"Customweb_UnzerCw::!label (Live)","!label (Live)"
"Customweb_UnzerCw::Captured Amount","Montant comptabilisé"
"Customweb_UnzerCw::Captured Status","Statut de capture"
"Customweb_UnzerCw::Captured amount (@captured) does not equal charged amount (@charged). Please check in your Unzer backend.","Captured amount (@captured) does not equal charged amount (@charged). Please check in your Unzer backend."
"Customweb_UnzerCw::Captures","Comptabilisations"
"Customweb_UnzerCw::Captures & Refunds","Captures et Remboursements"
"Customweb_UnzerCw::Capturing","Comptabiliser"
"Customweb_UnzerCw::Card 3Ds","Card 3Ds"
"Customweb_UnzerCw::Card Brand","Card Brand"
"Customweb_UnzerCw::Card Expiration","Date d'expiration de la carte"
"Customweb_UnzerCw::Card Expiry","Card Expiry"
"Customweb_UnzerCw::Card Holder Name","Titulaire de la carte"
"Customweb_UnzerCw::Card Number","Numéro de la carte"
"Customweb_UnzerCw::Carrier Title","Titre du transporteur"
"Customweb_UnzerCw::Charge @id for @amount received and processed.","Charge @id for @amount received and processed."
"Customweb_UnzerCw::Charge @id over @amount was created.","Charge @id over @amount was created."
"Customweb_UnzerCw::Charge ID","Charge ID"
"Customweb_UnzerCw::Check out faster","Commander plus vite"
"Customweb_UnzerCw::Check to activate the external checkout.","Marquer cette option pour activer la vérification externe."
"Customweb_UnzerCw::Checkout","Checkout"
"Customweb_UnzerCw::Checkout as Guest","Checkout en tant qu'invité"
"Customweb_UnzerCw::Checkout as a Guest or Register","Passer à la caisse en tant que client ou créer un compte"
"Customweb_UnzerCw::Checkout as a new customer","Commander en tant que nouveau client"
"Customweb_UnzerCw::Checkout using your account","Commander en utilisant votre compte"
"Customweb_UnzerCw::Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status","Séléctionnez 'Génération après la commande' si vous voulez qu'une facture soit créée pour la commande. Le statut de la facture sera celui du statut de la comptabilisation."
"Customweb_UnzerCw::Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status. For captured payments, an invoice is always created.","Séléctionnez 'Génération après la commande' si vous voulez qu'une facture soit créée pour la commande. Le statut de la facture sera celui du statut de la comptabilisation. Pour les paiements saisis, une facture est toujours créée."
"Customweb_UnzerCw::Code: '@code'","Code: '@code'"
"Customweb_UnzerCw::Commercial Register Number","Commercial Register Number"
"Customweb_UnzerCw::Commercial Sector","Commercial Sector"
"Customweb_UnzerCw::Company Commercial Number","Société Nombre de commerce"
"Customweb_UnzerCw::Confirm Password","Confirmer le mot de passe"
"Customweb_UnzerCw::Continue","Continuer"
"Customweb_UnzerCw::Could not convert object of type '!type' to string.","Impossible de convertir objet de type '!type' à string."
"Customweb_UnzerCw::Could not find a brand for the given card number.","Impossible de trouver une marque pour le numéro de carte donnée."
"Customweb_UnzerCw::Could not find pressed button.","Impossible de trouver le bouton pressé."
"Customweb_UnzerCw::Could not find template file at default location '!location'.","Impossible de trouver le fichier template dans le répertoire par défaut '!location'."
"Customweb_UnzerCw::Could not find the payment method !paymentMethodName.","Impossible de trouver le mode de paiement !paymentMethodName."
"Customweb_UnzerCw::Could not load layout from URL !url. Reason: !reason","Impossible de charger le template à partir de l'URL !url. Raison: !reason"
"Customweb_UnzerCw::Create Account","Créer un compte"
"Customweb_UnzerCw::Create New Order - Payment","Créer nouvelle commande - Paiement"
"Customweb_UnzerCw::Create a recurring payment, with an existing alias is not supported","Création d'un paiement récurrent avec un alias existant n'est pas possible."
"Customweb_UnzerCw::Created type is not recurring.","Created type is not recurring."
"Customweb_UnzerCw::Creating an account has many benefits:","La création d'un compte a de nombreux avantages:"
"Customweb_UnzerCw::Creating new charge failed: @message.","Creating new charge failed: @message."
"Customweb_UnzerCw::Creation Date","Date de création"
"Customweb_UnzerCw::Credit Card Brands","Types de cartes de crédit"
"Customweb_UnzerCw::Credit Memo History","Histoire de note de crédit"
"Customweb_UnzerCw::Credit Memo Totals","Totaux note de crédit"
"Customweb_UnzerCw::Credit memo's total must be positive.","Total de note de crédit doit être positive."
"Customweb_UnzerCw::Currency","Monnaie"
"Customweb_UnzerCw::Current Configuration Scope:","Champ d'application actuel de la configuration:"
"Customweb_UnzerCw::Customer Account","Compte client"
"Customweb_UnzerCw::Customer Alias Management","Gestion des Alias du client"
"Customweb_UnzerCw::Customer successfully returned from UnzerCw","Le client est retourné de UnzerCw avec succès"
"Customweb_UnzerCw::Customer successfully returned from Unzer","Client retourné avec succès de la page de paiement de UnzerCw."
"Customweb_UnzerCw::Customer sucessfully returned from the UnzerCw payment page.","Client retourné avec succès de la page de paiement de UnzerCw."
"Customweb_UnzerCw::Customers","Clients"
"Customweb_UnzerCw::Customweb","Customweb"
"Customweb_UnzerCw::Date","Date"
"Customweb_UnzerCw::Date of Birth","Date de naissance"
"Customweb_UnzerCw::Day","Jour"
"Customweb_UnzerCw::Deactivate","Désactiver"
"Customweb_UnzerCw::Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Cher client, nous avons reçu votre information de facturation et de livraison. Pour terminer votre commande veuillez créer un compte ci-dessous ou continuez en tant qu'invité."
"Customweb_UnzerCw::Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Cher client, il nous semble que votre paiement a été un succès, mais nous sommes toujours en attente de la confirmation. Vous pouvez attendre sur cette page et vous serez redirigé après que nous ayons reçu la confirmation. Vous pouvez aussi fermer cette fenêtre et nous vous enverrons un e-mail de confirmation de la commande."
"Customweb_UnzerCw::Default Config","Configuration par défaut"
"Customweb_UnzerCw::Deferred (authorization)","Différé (autorisation)"
"Customweb_UnzerCw::Deferred capturing","Comptabilisation retardée"
"Customweb_UnzerCw::Deferred settlement","Génération retardée"
"Customweb_UnzerCw::Define a maximal order total for this checkout to be available.","Définir un total de commande maximale pour que ce checkout soit disponible."
"Customweb_UnzerCw::Define a minimal order total for this checkout to be available.","Définir un total de commande minimale pour que ce checkout soit disponible."
"Customweb_UnzerCw::Delayed","Differé"
"Customweb_UnzerCw::Delete","Effacer"
"Customweb_UnzerCw::Delivery address","Delivery address"
"Customweb_UnzerCw::Description","Description"
"Customweb_UnzerCw::Diners Club","Diners Club"
"Customweb_UnzerCw::Direct Charge","Direct Charge"
"Customweb_UnzerCw::Direct Debits","Direct Debits"
"Customweb_UnzerCw::Direct E-Banking","Sofort Banking"
"Customweb_UnzerCw::Direct capture after order","Directement après la commande"
"Customweb_UnzerCw::Directly after order (sale)","Directement après la commande"
"Customweb_UnzerCw::Disabled","Désactivé"
"Customweb_UnzerCw::Discount","Rabais"
"Customweb_UnzerCw::Discount Amount","Montant du rabais"
"Customweb_UnzerCw::Do not send","Do not send"
"Customweb_UnzerCw::Don't change order status","Ne pas modifier le statut de la commande"
"Customweb_UnzerCw::During authorization","Pendant l'autorisation"
"Customweb_UnzerCw::Edit","Modifier"
"Customweb_UnzerCw::Edit Invoice %s","Éditer la facture %s"
"Customweb_UnzerCw::Either enter your commercial register number, or all other fields which are displayed.","Either enter your commercial register number, or all other fields which are displayed."
"Customweb_UnzerCw::Element Size","Element Size"
"Customweb_UnzerCw::Email","Email"
"Customweb_UnzerCw::Email Address","E-mail"
"Customweb_UnzerCw::Empty version number field name","Nom de champ de numéro de version vide"
"Customweb_UnzerCw::Enable or disable logging.","Activer ou désactiver le logging."
"Customweb_UnzerCw::Enable the payment method","Activer le mode de paiement"
"Customweb_UnzerCw::Enabled","Activé"
"Customweb_UnzerCw::Enter the date on which your card expires.","Veuillez sélectionner la date d’expiration"
"Customweb_UnzerCw::Enter the public and private key received from Unzer.","Enter the public and private key received from Unzer."
"Customweb_UnzerCw::Enter the sector your company operates in, e.g. finance.","Enter the sector your company operates in, e.g. finance."
"Customweb_UnzerCw::Enter your email address.","Enter your email address."
"Customweb_UnzerCw::Enter your preferred salutation.","Enter your preferred salutation."
"Customweb_UnzerCw::Error with the length of the validation date.","Erreur avec la longueur de la date de validation."
"Customweb_UnzerCw::Excl. Tax","Excl. impôt"
"Customweb_UnzerCw::Expiry Date","Expiry Date"
"Customweb_UnzerCw::External Checkout","Vérification externe"
"Customweb_UnzerCw::External Checkout: Guest Checkout","Validation externe : Guest Checkout"
"Customweb_UnzerCw::Failed","Raté"
"Customweb_UnzerCw::Failed payment authorization.","L'autorisation a été refusée."
"Customweb_UnzerCw::Figure !number:","Image !number:"
"Customweb_UnzerCw::Forgot Your Password?","Vous avez oublié votre mot de passe?"
"Customweb_UnzerCw::Forgot your password?","Mot de passe oublié?"
"Customweb_UnzerCw::Get Update","Mettre à jour"
"Customweb_UnzerCw::Here you can configure the merchant name which is displayed as part of the mandate text.","Here you can configure the merchant name which is displayed as part of the mandate text."
"Customweb_UnzerCw::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Ici vous pouvez insérer un préfixe de la commande. Le préfixe vous permet de changer le numéro de commande qui est transmis à Unzer. Le préfixe doit contenir le tag {id}. Il sera ensuite remplacé par le numéro de commande (par exemple name-{id}). Assurez-vous de ne pas utiliser '_'."
"Customweb_UnzerCw::Here you can set a schema for the invoiceId parameter transmitted to identify the payment. If left empty it is not transmitted. The following placeholders can be used: {oid} for the order id, which may not be unique or set; {tid} for the sellxed transaction id which is a unique number, or {id} which contains the order id and is guaranteed to be unique.","Here you can set a schema for the invoiceId parameter transmitted to identify the payment. If left empty it is not transmitted. The following placeholders can be used: {oid} for the order id, which may not be unique or set; {tid} for the sellxed transaction id which is a unique number, or {id} which contains the order id and is guaranteed to be unique."
"Customweb_UnzerCw::Here you can set a schema for the orderId parameter transmitted to identify the payment. If left empty it is not transmitted. The following placeholders can be used: {oid} for the order id, which may not be unique or set; {tid} for the sellxed transaction id which is a unique number, or {id} which contains the order id and is guaranteed to be unique.","Here you can set a schema for the orderId parameter transmitted to identify the payment. If left empty it is not transmitted. The following placeholders can be used: {oid} for the order id, which may not be unique or set; {tid} for the sellxed transaction id which is a unique number, or {id} which contains the order id and is guaranteed to be unique."
"Customweb_UnzerCw::Here you can set a schema for the paymentReference parameter transmitted to identify the payment. If left empty it is not transmitted. The following placeholders can be used: {oid} for the order id, which may not be unique or set; {tid} for the sellxed transaction id which is a unique number, or {id} which contains the order id and is guaranteed to be unique.","Here you can set a schema for the paymentReference parameter transmitted to identify the payment. If left empty it is not transmitted. The following placeholders can be used: {oid} for the order id, which may not be unique or set; {tid} for the sellxed transaction id which is a unique number, or {id} which contains the order id and is guaranteed to be unique."
"Customweb_UnzerCw::Hide","Masquer"
"Customweb_UnzerCw::How should elements from Unzer be loaded? With narrow elements the element label is displayed by the store, with wide elements it is loaded via javascript by Unzer. The input elements are always loaded from Unzer.","How should elements from Unzer be loaded? With narrow elements the element label is displayed by the store, with wide elements it is loaded via javascript by Unzer. The input elements are always loaded from Unzer."
"Customweb_UnzerCw::IBAN","IBAN"
"Customweb_UnzerCw::IBAN number","Número du compte bancaire"
"Customweb_UnzerCw::If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","S'il y a qu'une seule pièce de l'article en stock et le paiement du client échoue ou est annulé, cette article ne sera pas disponible jusqu'à que la commande soit annulée (option 'timeout' en bas). Activez cette option si vous voulez que l'article ne soit pas réservé. La commande sera donc annulée immédiatement."
"Customweb_UnzerCw::If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled.","Si un produit est en stock qu'une seule fois et le paiement de la commande du client ce produit échoue ou est abandonnée, il ne sera pas disponible jusqu'à ce que la commande est annulée (voir option de temporisation ci-dessous). Activez ce paramètre pour annuler les commandes en attente du client quand il revient à la page de panier et un produit ne sont plus disponible. Attention: Si vous activez cette option, il ya une chance que les paiements sont faits avec la commande correspondante étant déjà annulé."
"Customweb_UnzerCw::If it is not applicable leave the field empty.","Si ce n'est pas applicable veuillez laisser le champ vide."
"Customweb_UnzerCw::If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","Si l'état est 'En attente', il est difficile de savoir si la transaction sera annulée avec succès."
"Customweb_UnzerCw::If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","Si l'état est 'En attente', il est difficile de savoir si la transaction sera capturé avec succès."
"Customweb_UnzerCw::If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","Si l'état est 'En attente', il est difficile de savoir si l'opération sera remboursé avec succès."
"Customweb_UnzerCw::If the test mode is selected the test account is used. Otherwise the configured account is used.","Si le mode de test est sélectionné, le compte test sera utilisé. Sinon, le compte configuré sera utilisé."
"Customweb_UnzerCw::If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","Si vous avez des problèmes avec le module, n'hésitez pas à nous contacter. Consultez notre <a href='https://www.sellxed.com/en/support' target='_blank'>page d'assistance</a> pour plus d'informations."
"Customweb_UnzerCw::If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>.","Si vous souhaitez utiliser les paiements récurrents, vous avez besoin de notre module de Magento 'Customweb Subscription'. Pour plus d'informations, veuillez aller sur <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>."
"Customweb_UnzerCw::Image Brand Selection","Image Brand Selection"
"Customweb_UnzerCw::In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited.","Dans certains cas, il peut prendre quelques secondes jusqu'à ce que la transaction soit autorisée avec succès. Lorsque cette option est activée, la boutique attendra la notification quelques secondes."
"Customweb_UnzerCw::In some cases payment methods may use separate keys. If this is the case, add the keys found in the Unzer backend to the payment method configuration in your store.","In some cases payment methods may use separate keys. If this is the case, add the keys found in the Unzer backend to the payment method configuration in your store."
"Customweb_UnzerCw::In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation.","Dans certains cas, l'opération nécessite quelques secondes jusqu'à ce qu'elle est autorisée avec succès. Lorsque cette option est activée l'utilisateur est en attente jusqu'à ce que celle-ci atteigne l'état final. Si ce n'est pas le cas en 30 secondes, un message s'affiche pour le client, qui explique la situation."
"Customweb_UnzerCw::Inactive","Inactif"
"Customweb_UnzerCw::Incl. Tax","Incl. TVA"
"Customweb_UnzerCw::Information","Information"
"Customweb_UnzerCw::Invalid login or password.","Nom d'utilisateur inexistant ou mauvais mot de passe."
"Customweb_UnzerCw::Invoice Items","Eléments de la facture"
"Customweb_UnzerCw::Invoice Settlement","Le règlement des factures"
"Customweb_UnzerCw::Invoice Totals","Totaux facture"
"Customweb_UnzerCw::Invoice settlement","Génération de la facture"
"Customweb_UnzerCw::Invoice was created successfully","La facture a été créée avec succès"
"Customweb_UnzerCw::InvoiceID Schema","InvoiceID Schema"
"Customweb_UnzerCw::Invoices","Factures"
"Customweb_UnzerCw::Issue Number","Numéro"
"Customweb_UnzerCw::Issuer","Issuer"
"Customweb_UnzerCw::It is not possible to checkout in your country.","Paiements de ce pays ne seront pas acceptés."
"Customweb_UnzerCw::Item","Article"
"Customweb_UnzerCw::Items","Articles"
"Customweb_UnzerCw::Items Refunded","Articles Remboursé"
"Customweb_UnzerCw::JCB","JCB"
"Customweb_UnzerCw::Live","Live"
"Customweb_UnzerCw::Live HMAC Key","Live HMAC Key"
"Customweb_UnzerCw::Live Identifier (PBX_IDENTIFIANT)","Live identifiant (PBX_IDENTIFIANT)"
"Customweb_UnzerCw::Live Mode","Live Mode"
"Customweb_UnzerCw::Live Password","Mot de passe live"
"Customweb_UnzerCw::Live Rang (PBX_RANG)","Live Rang (PBX_RANG)"
"Customweb_UnzerCw::Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Customweb_UnzerCw::Logging","Logging"
"Customweb_UnzerCw::Login","Login"
"Customweb_UnzerCw::Login & Register","Login & Inscription"
"Customweb_UnzerCw::Login and password are required.","Login et mot de passe sont requis."
"Customweb_UnzerCw::Mail order/telephone order authorization","Authentification par e-mail / téléphone"
"Customweb_UnzerCw::Manage Stores","Gérer Magasins"
"Customweb_UnzerCw::Manage Unzer Aliases","Gérer les Alias Unzer"
"Customweb_UnzerCw::Mandate","Mandate"
"Customweb_UnzerCw::MasterCard","MasterCard"
"Customweb_UnzerCw::Maximum Order Total","Montant de commande maximal"
"Customweb_UnzerCw::Merchant name","Merchant name"
"Customweb_UnzerCw::Message","Message"
"Customweb_UnzerCw::Method Title","Titre de la méthode"
"Customweb_UnzerCw::Minimum Order Total","Montant de commande minimal"
"Customweb_UnzerCw::Month","Mois"
"Customweb_UnzerCw::Mr","Mr"
"Customweb_UnzerCw::Mrs","Mrs"
"Customweb_UnzerCw::My Unzer Aliases","Mes Alias Unzer"
"Customweb_UnzerCw::Narrow (label from shop)","Narrow (label from shop)"
"Customweb_UnzerCw::New Order","Nouvelle commande"
"Customweb_UnzerCw::New Order Status","Nouvel statut de commande"
"Customweb_UnzerCw::New card","Nouvelle carte"
"Customweb_UnzerCw::Next Update Execution Date","Prochaine mise à jour"
"Customweb_UnzerCw::No","Non"
"Customweb_UnzerCw::No Items","Pas d'objet"
"Customweb_UnzerCw::No additional payment information available.","Aucune information de paiement supplémentaire est disponible."
"Customweb_UnzerCw::No authorization method found for payment method !method.","Aucun mode d'autorisation trouvé pour le mode de paiement !method."
"Customweb_UnzerCw::No button returned.","Pas de bouton retourné."
"Customweb_UnzerCw::No refund possible.","Remboursement n'est pas possible"
"Customweb_UnzerCw::No shipping method needed.","Aucun mode de livraison nécessaire."
"Customweb_UnzerCw::No, use the dropdown.","Utiliser le menu déroulant"
"Customweb_UnzerCw::Only an authorized transaction can be marked as finally declined.","Seulement une transaction autorisée peut être marquée comme finalement déclinée."
"Customweb_UnzerCw::Only an uncertain transaction can be marked as finally declined.","Seulement une transaction incertaine peut être marquée comme déclinée."
"Customweb_UnzerCw::Only authorized transaction can be cancelled.","Seulement les transactions autorisées peuvent être annulées."
"Customweb_UnzerCw::Only authorized transaction can be captured.","Seulement les transactions autorisées peuvent être comptabilisées."
"Customweb_UnzerCw::Only authorized transaction can be refunded.","Seulement les transactions autorisées peuvent être remboursées"
"Customweb_UnzerCw::Only captured transaction can be refunded.","Seulement les transaction comptabilisées peuvent être remboursées."
"Customweb_UnzerCw::Only on captured transaction the flag customer refusing to pay can be set.","Il est seulement possible de définir un indicateur pour les clients qui n'ont pas payé sur les transactions capturées."
"Customweb_UnzerCw::Operation Mode","Mode de fonctionnement"
"Customweb_UnzerCw::Operation mode of the shop.","Operation mode of the shop."
"Customweb_UnzerCw::Order #","Numéro de commande"
"Customweb_UnzerCw::Order Grand Total","Total de l'ordre"
"Customweb_UnzerCw::Order Information","Informations sur la commande"
