"Customweb_UnzerCw::!label (Live)","!label (Live)"
"Customweb_UnzerCw::A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Eine Transaktion kann unsicher sein wenn die Bezahlung nicht garantiert ist. Zum Beispiel wenn die Kreditkarte nicht Teil des 3D Secure Prozesses ist."
"Customweb_UnzerCw::About","Über"
"Customweb_UnzerCw::Account Holder Name","Kontoinhaber"
"Customweb_UnzerCw::Account owner name.","Kontoinhaber"
"Customweb_UnzerCw::Action","Aktion"
"Customweb_UnzerCw::Actions","Aktionen"
"Customweb_UnzerCw::Activate","Aktiv"
"Customweb_UnzerCw::Activate the payment methods you would like to offer.","Aktivieren Sie die Zahlmittel, die Sie anbieten möchten."
"Customweb_UnzerCw::Active","Aktiv"
"Customweb_UnzerCw::Additional Information","Zusätzliche Informationen"
"Customweb_UnzerCw::Adjust Qty","Anzahl anpassen"
"Customweb_UnzerCw::Adjustment Discount","Korrektur-Ermässigung"
"Customweb_UnzerCw::Adjustment Fee","Bearbeitungsgebühr"
"Customweb_UnzerCw::After payment selection","Nach der Wahl der Zahlungsmethode"
"Customweb_UnzerCw::Ajax authorization not supported.","Ajax-Autorisierung wird nicht unterstützt."
"Customweb_UnzerCw::Alias","Alias"
"Customweb_UnzerCw::Alias For Display","Beispiel-Alias"
"Customweb_UnzerCw::All Customers","Alle Kunden"
"Customweb_UnzerCw::Allowed Currencies","Erlaubte Währungen"
"Customweb_UnzerCw::Allowed currencies for this payment method","Erlaubte Währungen für diese Zahlungsmethode"
"Customweb_UnzerCw::Already registered?","Bereits registriert?"
"Customweb_UnzerCw::Always Checkout as Guest","Immer als Gast auschecken"
"Customweb_UnzerCw::American Express","American Express"
"Customweb_UnzerCw::Amount","Betrag"
"Customweb_UnzerCw::Amount Incl. Tax","Betrag inkl. Steuern"
"Customweb_UnzerCw::An unknown error occurred.","Ein unbekannter Fehler ist aufgetreten."
"Customweb_UnzerCw::An unkown error occurred.","Ein unbekannter Fehler ist aufgetreten."
"Customweb_UnzerCw::An unkown exception occurred: @message.","Ein unbekannter Fehler ist aufgetreten: @message."
"Customweb_UnzerCw::Applied Interest Rate","Angewendeter Zinssatz"
"Customweb_UnzerCw::Are you sure you want to cancel this order?","Sind Sie sicher, dass Sie diese Bestellung stornieren möchten?"
"Customweb_UnzerCw::Author","Autor"
"Customweb_UnzerCw::Authorization Amount","Autorisierungsbetrag"
"Customweb_UnzerCw::Authorization Failed","Autorisierung fehlgeschlagen"
"Customweb_UnzerCw::Authorization Method","Autorisierungsmethode"
"Customweb_UnzerCw::Authorization is uncertain.","Autorisierung ist unsicher"
"Customweb_UnzerCw::Authorize","Reservierung"
"Customweb_UnzerCw::Authorized Status","Autorisationsstatus"
"Customweb_UnzerCw::Await Notification","Benachrichtigung abwarten"
"Customweb_UnzerCw::Awaiting confirmation","Warten auf die Bestätigung"
"Customweb_UnzerCw::BIC","BIC"
"Customweb_UnzerCw::Bad signature format.","Das Format der Signatur ist fehlerhaft"
"Customweb_UnzerCw::Bank Location","Bank Standort"
"Customweb_UnzerCw::Bank Name","Name der Bank"
"Customweb_UnzerCw::Bank account number","Bankkonto"
"Customweb_UnzerCw::Bank code number","Bankcodenummer"
"Customweb_UnzerCw::Before payment selection","Vor der Wahl der Zahlungsmethode"
"Customweb_UnzerCw::Billing Address","Rechnungsadresse"
"Customweb_UnzerCw::Billing Information","Rechnungsinformationen"
"Customweb_UnzerCw::Billing address","Billing address"
"Customweb_UnzerCw::Brand Name","Markenname"
"Customweb_UnzerCw::By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","Mit den Einstellungen zur Verbuchung kann eine Reservierung entweder direkt nach der Bestellung oder nachträglich im Backend des Shops verbucht werden."
"Customweb_UnzerCw::CVC","CVC"
"Customweb_UnzerCw::CVC Code","CVC Code"
"Customweb_UnzerCw::Cancel","Stornieren"
"Customweb_UnzerCw::Cancel ID","Stornierungs ID"
"Customweb_UnzerCw::Cancel pending orders when out of stock","Ausstehende Bestellungen stornieren, wenn der Artikel nicht mehr an Lager ist."
"Customweb_UnzerCw::Cancel status","Stornierungsstatus"
"Customweb_UnzerCw::Canceled UnzerCw","Abbrechen UnzerCw"
"Customweb_UnzerCw::Canceling of this payment not possible!","Stornieren dieser Zahlung ist nicht möglich!"
"Customweb_UnzerCw::Cancelled @amount using id @id.","Stornierung von @amount mit der id @id"
"Customweb_UnzerCw::Cancelled Status","Status für abgebrochene Bestellungen"
"Customweb_UnzerCw::Cancelling @amount for charge with id @id.","Stornierung von @amount für die Verbuchung mit id @id."
"Customweb_UnzerCw::Cannot update item quantity.","Die Artikelanzahl kann nicht aktualisiert werden."
"Customweb_UnzerCw::Capture Amount","Buchungsbetrag"
"Customweb_UnzerCw::Capture ID","Buchungs ID"
"Customweb_UnzerCw::Capture amount","Verbuchungsbetrag"
"Customweb_UnzerCw::Capture information","Buchungs Informationen"
"Customweb_UnzerCw::Capture status","Verbuchungsstatus"
"Customweb_UnzerCw::Capture: Don't Close","Verbuchung: Nicht schliessen"
"Customweb_UnzerCw::Captured Amount","Verbuchter Betrag"
"Customweb_UnzerCw::Captured Status","Verbuchungsstatus"
"Customweb_UnzerCw::Captured amount (@captured) does not equal charged amount (@charged). Please check in your Unzer backend.","Der verbuchte Betrag von @captured stimmt nicht mit dem belasteten Betrag von @charged überein. Bitte prüfen Sie dies im Unzer Backend."
"Customweb_UnzerCw::Captures","Verbuchungen"
"Customweb_UnzerCw::Captures & Refunds","Verbuchungen & Gutschriften"
"Customweb_UnzerCw::Capturing","Verbuchung"
"Customweb_UnzerCw::Card 3Ds","Karten 3-D Secure"
"Customweb_UnzerCw::Card Brand","Kartenmarke"
"Customweb_UnzerCw::Card Expiration","Kartenablaufdatum"
"Customweb_UnzerCw::Card Expiry","Kartenablaufdatum"
"Customweb_UnzerCw::Card Holder Name","Karteninhaber"
"Customweb_UnzerCw::Card Number","Kartennummer"
"Customweb_UnzerCw::Carrier Title","Carrier Title"
"Customweb_UnzerCw::Charge @id for @amount received and processed.","Charge @id für @amount erhalten und verarbeitet."
"Customweb_UnzerCw::Charge @id over @amount was created.","Verbuchung @id über @amount wurde erstellt."
"Customweb_UnzerCw::Charge ID","Charge ID"
"Customweb_UnzerCw::Check out faster","Schnelleres Bestellen"
"Customweb_UnzerCw::Check to activate the external checkout.","Markieren Sie dieses Feld um den externen Checkout zu aktivieren."
"Customweb_UnzerCw::Checkout","Checkout"
"Customweb_UnzerCw::Checkout as Guest","Als Gast zur Kasse gehen"
"Customweb_UnzerCw::Checkout as a Guest or Register","Als Gast zur Kasse gehen oder ein Kundenkonto erstellen"
"Customweb_UnzerCw::Checkout as a new customer","Als Neukunde bestellen"
"Customweb_UnzerCw::Checkout using your account","Über Ihr Benutzerkonto bestellen"
"Customweb_UnzerCw::Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status","Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status"
"Customweb_UnzerCw::Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status. For captured payments, an invoice is always created.","Wählen Sie 'Erstellung nach Bestellung' falls Sie möchten, dass eine Rechung zu Ihrer Bestellung generiert wird. Der status der Rechnung wird anhand Ihres Buchungs Status gesetzt. Für verbuchte Zahlungen wird stets eine Rechnung erstellt."
"Customweb_UnzerCw::Code: '@code'","Code: '@code'"
"Customweb_UnzerCw::Commercial Register Number","Handelsregisternummer"
"Customweb_UnzerCw::Commercial Sector","Kommerzieller Sektor"
"Customweb_UnzerCw::Company Commercial Number","Handelsregisternummer der Firma"
"Customweb_UnzerCw::Confirm Password","Passwort bestätigen"
"Customweb_UnzerCw::Continue","Fortfahren"
"Customweb_UnzerCw::Could not convert object of type '!type' to string.","Konvertierung eines Objektes vom Typ '!type' ist fehlgeschlagen."
"Customweb_UnzerCw::Could not find a brand for the given card number.","Es konnte keinen Brand für die gegebene Karte gefunden werden."
"Customweb_UnzerCw::Could not find pressed button.","Der Button konnte nicht gefunden werden"
"Customweb_UnzerCw::Could not find template file at default location '!location'.","Konnte kein Template auf dem Standard Pfad unter '!location' finden."
"Customweb_UnzerCw::Could not find the payment method !paymentMethodName.","Zahlungsmethode '!paymentMethodName' konnte nicht gefunden werden."
"Customweb_UnzerCw::Could not load layout from URL !url. Reason: !reason","Das Layout konnte nicht von !url geladen werden. Grund: !reason"
"Customweb_UnzerCw::Create Account","Benutzerkonto erstellen"
"Customweb_UnzerCw::Create New Order - Payment","Neue Bestellung erstellen - Zahlung"
"Customweb_UnzerCw::Create a recurring payment, with an existing alias is not supported","Mit einem existierenden Alias ist die Erstellung einer wiederkehrenden Zahlung nicht möglich."
"Customweb_UnzerCw::Created type is not recurring.","Der erzeugte Type ist nicht für wiederkehrende Zahlungen geeignet."
"Customweb_UnzerCw::Creating an account has many benefits:","Die Erstellung eines Benutzerkontos bringt viele Vorteile mit sich:"
"Customweb_UnzerCw::Creating new charge failed: @message.","Erstellung eines neuen Charges ist fehlgeschlagen: @message."
"Customweb_UnzerCw::Creation Date","Erstellungsdatum"
"Customweb_UnzerCw::Credit Card Brands","Kreditkartenbrand"
"Customweb_UnzerCw::Credit Memo History","Gutschrifthistorie"
"Customweb_UnzerCw::Credit Memo Totals","Gutschrift Total"
"Customweb_UnzerCw::Credit memo's total must be positive.","Der Gesamtbetrag der Gutschrift muss positiv sein."
"Customweb_UnzerCw::Currency","Währung"
"Customweb_UnzerCw::Current Configuration Scope:","Scope der Konfiguration:"
"Customweb_UnzerCw::Customer Account","Kundenkonto"
"Customweb_UnzerCw::Customer Alias Management","Kunden Alias Management"
"Customweb_UnzerCw::Customer successfully returned from UnzerCw","Kunde ist erfolgreich von UnzerCw zurückgekehrt"
"Customweb_UnzerCw::Customer successfully returned from Unzer","Der Kunde ist erfolgreich von der UnzerCw Payment Page zurückgekehrt."
"Customweb_UnzerCw::Customer sucessfully returned from the UnzerCw payment page.","Der Kunde ist erfolgreich von der UnzerCw Payment Page zurückgekehrt."
"Customweb_UnzerCw::Customers","Kunden"
"Customweb_UnzerCw::Customweb","Customweb"
"Customweb_UnzerCw::Date","Datum"
"Customweb_UnzerCw::Date of Birth","Geburtsdatum"
"Customweb_UnzerCw::Day","Tag"
"Customweb_UnzerCw::Deactivate","Deaktivieren"
"Customweb_UnzerCw::Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Sehr geehrter Kunde wir haben Ihre Rechnungs- und Lieferinformationen erhalten. Um Ihre Bestellung abschliessen zu können, bitten wir Sie ein Account zu erstellen oder sich als Gast anzumelden."
"Customweb_UnzerCw::Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Sehr geehrter Kunde, es scheint, dass Ihre Zahlung erfolgreich war, aber wir warten immer noch auf eine Bestätigung. Sie können auf dieser Seite warten, und wir leiten Sie weiter nachdem wir die Bestätigung erhalten haben. Oder Sie können dieses Fenster schliessen und wir senden Ihnen eine Auftragsbestätigung später per Email."
"Customweb_UnzerCw::Default Config","Standard Konfiguration"
"Customweb_UnzerCw::Deferred (authorization)","Verzögert (Autorisierung)"
"Customweb_UnzerCw::Deferred capturing","Verzögerte Buchung"
"Customweb_UnzerCw::Deferred settlement","Verzögerte Erstellung"
"Customweb_UnzerCw::Define a maximal order total for this checkout to be available.","Definieren Sie einen Maximalbestellwert für den Checkout."
"Customweb_UnzerCw::Define a minimal order total for this checkout to be available.","Definieren Sie einen Mindestbestellwert, der erreicht werden muss um den Checkout verfügbar zu machen."
"Customweb_UnzerCw::Delayed","Verzögert"
"Customweb_UnzerCw::Delete","Löschen"
"Customweb_UnzerCw::Delivery address","Delivery address"
"Customweb_UnzerCw::Description","Beschreibung"
"Customweb_UnzerCw::Diners Club","Diners Club"
"Customweb_UnzerCw::Direct Charge","Direkte Belastung"
"Customweb_UnzerCw::Direct Debits","Lastschrift"
"Customweb_UnzerCw::Direct E-Banking","Sofortüberweisung"
"Customweb_UnzerCw::Direct capture after order","Direkte Buchung nach der Bestellung"
"Customweb_UnzerCw::Directly after order (sale)","Direkte Buchung nach der Bestellung"
"Customweb_UnzerCw::Disabled","Deaktiviert"
"Customweb_UnzerCw::Discount","Rabatt"
"Customweb_UnzerCw::Discount Amount","Rabattbetrag"
"Customweb_UnzerCw::Do not send","Nicht senden"
"Customweb_UnzerCw::Don't change order status","Bestellstatus nicht verändern."
"Customweb_UnzerCw::During authorization","Während der Autorisation"
"Customweb_UnzerCw::Edit","Bearbeiten"
"Customweb_UnzerCw::Edit Invoice %s","Rechnung bearbeiten %s"
"Customweb_UnzerCw::Either enter your commercial register number, or all other fields which are displayed.","Entweder geben Sie bitte die Handelsregisternummer ein oder füllen Sie bitte alle anderen Felder aus."
"Customweb_UnzerCw::Element Size","Element Grösse"
"Customweb_UnzerCw::Email","E-Mail-Adresse"
"Customweb_UnzerCw::Email Address","E-Mail Adresse"
"Customweb_UnzerCw::Empty version number field name","Leerer Versionsnummer-Feldname"
"Customweb_UnzerCw::Enable or disable logging.","Erfassung aktivieren oder deaktivieren."
"Customweb_UnzerCw::Enable the payment method","Diese Zahlungsmethode aktivieren"
"Customweb_UnzerCw::Enabled","Aktiviert"
"Customweb_UnzerCw::Enter the date on which your card expires.","Geben Sie das Ablaufdatum der Karte ein."
"Customweb_UnzerCw::Enter the public and private key received from Unzer.","Bitte geben Sie den privaten und öffentlichen Schlüssel ein. Diese werden von Unzer zur Verfügung gestellt."
"Customweb_UnzerCw::Enter the sector your company operates in, e.g. finance.","Bitte geben Sie den Sektor an, in dem Ihre Firma arbeitet (z.B. Finanzen, IT-Dienstleitungen etc.)."
"Customweb_UnzerCw::Enter your email address.","Tragen Sie bitte ihre E-Mail-Adresse ein."
"Customweb_UnzerCw::Enter your preferred salutation.","Geben Sie bitte Ihre Anrede an."
"Customweb_UnzerCw::Error with the length of the validation date.","Bitte kontrollieren Sie das Gültigkeitsdatum."
"Customweb_UnzerCw::Excl. Tax","Exkl. Steuern"
"Customweb_UnzerCw::Expiry Date","Ablaufdatum"
"Customweb_UnzerCw::External Checkout","Externer Checkout"
"Customweb_UnzerCw::External Checkout: Guest Checkout","External Checkout: Gast Checkout"
"Customweb_UnzerCw::Failed","Fehlgeschlagen"
"Customweb_UnzerCw::Failed payment authorization.","Die Autorisierung ist fehlgeschlagen."
"Customweb_UnzerCw::Figure !number:","Abbildung !number:"
"Customweb_UnzerCw::Forgot Your Password?","Haben Sie Ihr Passwort vergessen?"
"Customweb_UnzerCw::Forgot your password?","Passwort vergessen?"
"Customweb_UnzerCw::Get Update","Aktualisieren"
"Customweb_UnzerCw::Here you can configure the merchant name which is displayed as part of the mandate text.","Der Händlername wird angezeigt im Mandatstext, der dem Kunden während dem Zahlungsvorgang angezeigt wird."
"Customweb_UnzerCw::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Hier können Sie einen Bestellpräfix eingeben. Der Präfix erlaubt es Ihnen, die Bestellnummer, die an Unzer übermittelt wird, zu verändern. Der Präfix muss den Tag {id} enthalten. Dieser wird anschliessend durch die Bestellnummer ersetzt (z.B. name_{id})."
"Customweb_UnzerCw::Here you can set a schema for the invoiceId parameter transmitted to identify the payment. If left empty it is not transmitted. The following placeholders can be used: {oid} for the order id, which may not be unique or set; {tid} for the sellxed transaction id which is a unique number, or {id} which contains the order id and is guaranteed to be unique.","Das InvoiceID Schema erlaubt die Formatierung des InvoiceID Parameters, welche an Unzer übermittelt wird.Wenn dies leer gelassen wird, dann wird kein Wert übermittelt. Die folgende Platzhalter können verwendet werden: {oid} die Bestellnummer, die entweder nicht eindeutig ist oder allenfalls nicht gesetzt sein kann. {tid} die Plugin-Transaktions Id, die immer eindeutig ist. {id} beinhaltet eine ID, welche eindeutig ist und aufgrund der Transaktion und der Bestellung erzeugt wird."
"Customweb_UnzerCw::Here you can set a schema for the orderId parameter transmitted to identify the payment. If left empty it is not transmitted. The following placeholders can be used: {oid} for the order id, which may not be unique or set; {tid} for the sellxed transaction id which is a unique number, or {id} which contains the order id and is guaranteed to be unique.","Das Order Schema erlaubt die Formatierung der orderId, welche an Unzer übermittelt wird.Wenn dies leer gelassen wird, dann wird kein Wert übermittelt. Die folgende Platzhalter können verwendet werden: {oid} die Bestellnummer, die entweder nicht eindeutig ist oder allenfalls nicht gesetzt sein kann. {tid} die Plugin-Transaktions Id, die immer eindeutig ist. {id} beinhaltet eine ID, welche eindeutig ist und aufgrund der Transaktion und der Bestellung erzeugt wird."
"Customweb_UnzerCw::Here you can set a schema for the paymentReference parameter transmitted to identify the payment. If left empty it is not transmitted. The following placeholders can be used: {oid} for the order id, which may not be unique or set; {tid} for the sellxed transaction id which is a unique number, or {id} which contains the order id and is guaranteed to be unique.","Das paymentReference Schema erlaubt die Formatierung des paymentReference Parameters, welche an Unzer übermittelt wird.Wenn dies leer gelassen wird, dann wird kein Wert übermittelt. Die folgende Platzhalter können verwendet werden: {oid} die Bestellnummer, die entweder nicht eindeutig ist oder allenfalls nicht gesetzt sein kann. {tid} die Plugin-Transaktions Id, die immer eindeutig ist. {id} beinhaltet eine ID, welche eindeutig ist und aufgrund der Transaktion und der Bestellung erzeugt wird."
"Customweb_UnzerCw::Hide","Verbergen"
"Customweb_UnzerCw::How should elements from Unzer be loaded? With narrow elements the element label is displayed by the store, with wide elements it is loaded via javascript by Unzer. The input elements are always loaded from Unzer.","Wie sollen die Elemente von Unzer geladen werden? Mit schmalen Elementen werden die Label vom Shop angezeigt. Wenn die Breiten Elemente verwendet werden, dann werden die Labels durch Unzer erzeugt via Javascript. Die Eingabefelder werden immer von Unzer geladen."
"Customweb_UnzerCw::IBAN","IBAN"
"Customweb_UnzerCw::IBAN number","Bankkonto"
"Customweb_UnzerCw::If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","Sofern nur noch ein Produkt an Lager ist und die Bezahlung des Kunden (der genau dieses Produkt kauft) fehlschlägt, wird das Produkt solange reserviert bis die Bestellung annuliert wird (vgl. Timeout Option). Aktivieren Sie diese Option, falls Sie NICHT möchten, dass das Produkt reserviert wird. Die Bestellung wird dann bei fehlgeschlagener oder abgebrochener Zahlung sofort annuliert."
"Customweb_UnzerCw::If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled.","Der Artikel wird während der Zeit, wenn ein Kunde im Checkout ist reserverit. Aktivieren Sie diese Option, damit der Bestand bei fehlgeschlagenen Zahlungen direkt wieder freigegeben wird. Ansonsten erfolgt die Freigabe erst, wenn der Cron Job die ausstehenden Bestellungen cancelled."
"Customweb_UnzerCw::If it is not applicable leave the field empty.","Falls nicht zutreffend, lassen Sie dieses Feld leer."
"Customweb_UnzerCw::If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","Wenn der Status 'Ausstehend' ist, dann ist unklar ob die Transaktion erfolgreich storniert wurde."
"Customweb_UnzerCw::If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","Wenn der Status 'Ausstehend' ist, dann ist unklar ob die Verbuchung erfolgreich war."
"Customweb_UnzerCw::If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","Wenn der Status 'Ausstehend' ist, dann ist es unklar, ob die Gutschrift erfolgreich war."
"Customweb_UnzerCw::If the test mode is selected the test account is used. Otherwise the configured account is used.","Dieser Account wird benutzt, wenn der Testmodus ausgewählt ist. Andernfalls wird der konfigurierte Account benutzt."
"Customweb_UnzerCw::If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","Zögern Sie nicht, uns zu kontaktieren falls Sie ein Problem mit dem Modul haben. Auf unserer <a href='https://www.sellxed.com/de/support' target='_blank'>Support Seite</a> finden Sie weitere Informationen."
"Customweb_UnzerCw::If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>.","Falls Sie Recurring Payments anbieten möchten, brauchen Sie das Magnet Modul ""Customweb Subscription"". Weitere Informationen finden Sie unter <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>."
"Customweb_UnzerCw::Image Brand Selection","Auswahl des Kartenlogos"
"Customweb_UnzerCw::In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited.","Es kann in einigen Fällen ein paar Sekunden dauern bis die Transaktion erfolgreich genehmigt wird. Wenn diese Option aktiviert ist, wird die Benachrichtigung erwartet."
"Customweb_UnzerCw::In some cases payment methods may use separate keys. If this is the case, add the keys found in the Unzer backend to the payment method configuration in your store.","Einige Zahlmethoden erfordern weitere Schlüssel. In diesem Fall können diese im Backend von Unzer gefunden werden. Die Schlüssel müssen in der Zahlartenkonfiguration im Shop eingetragen werden."
"Customweb_UnzerCw::In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation.","Es dauert teilweise etwas bis wir vom PSP die Nachricht der Zahlung erhalten. Das aktivieren dieser Option führt dazu, dass der Kunde im Checkout verzögert wird, bis die Notifikation vom PSP eintrifft."
"Customweb_UnzerCw::Inactive","Inaktiv"
"Customweb_UnzerCw::Incl. Tax","Inkl. Tax"
"Customweb_UnzerCw::Information","Information"
"Customweb_UnzerCw::Invalid login or password.","Ungültiges Login oder Passwort."
"Customweb_UnzerCw::Invoice Items","Rechungsartikel"
"Customweb_UnzerCw::Invoice Settlement","Verbuchung der Rechnung"
"Customweb_UnzerCw::Invoice Totals","Rechnungstotal"
"Customweb_UnzerCw::Invoice settlement","Rechungserstellung"
"Customweb_UnzerCw::Invoice was created successfully","Die Rechnung wurde erfolgreich erstellt"
"Customweb_UnzerCw::InvoiceID Schema","InvoiceID Schema"
"Customweb_UnzerCw::Invoices","Rechungen"
"Customweb_UnzerCw::Issue Number","Ausgabekartennummer"
"Customweb_UnzerCw::Issuer","Issuer"
"Customweb_UnzerCw::It is not possible to checkout in your country.","Es ist in Ihrem Land nicht möglich zu bezahlen."
"Customweb_UnzerCw::Item","Artikel"
"Customweb_UnzerCw::Items","Artikel"
"Customweb_UnzerCw::Items Refunded","Artikel zurückerstattet"
"Customweb_UnzerCw::JCB","JCB"
"Customweb_UnzerCw::Live","Live"
"Customweb_UnzerCw::Live HMAC Key","Live HMAC Key"
"Customweb_UnzerCw::Live Identifier (PBX_IDENTIFIANT)","Live Identifier (PBX_IDENTIFIANT)"
"Customweb_UnzerCw::Live Mode","Live Modus"
"Customweb_UnzerCw::Live Password","Live Passwort"
"Customweb_UnzerCw::Live Rang (PBX_RANG)","Live Rang"
"Customweb_UnzerCw::Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Customweb_UnzerCw::Logging","Logging"
"Customweb_UnzerCw::Login","Login"
"Customweb_UnzerCw::Login & Register","Login & Registrieren"
"Customweb_UnzerCw::Login and password are required.","Login und Passwort sind erforderlich."
"Customweb_UnzerCw::Mail order/telephone order authorization","Autorisierung von eMail-/Telefonbestellungen"
"Customweb_UnzerCw::Manage Stores","Shops verwalten"
"Customweb_UnzerCw::Manage Unzer Aliases","Unzer Aliasse verwalten"
"Customweb_UnzerCw::Mandate","Mandat"
"Customweb_UnzerCw::MasterCard","MasterCard"
"Customweb_UnzerCw::Maximum Order Total","Maximales Bestelltotal"
"Customweb_UnzerCw::Merchant name","Händlername"
"Customweb_UnzerCw::Message","Nachricht"
"Customweb_UnzerCw::Method Title","Titel der Zahlungsmethode"
"Customweb_UnzerCw::Minimum Order Total","Minimales Bestelltotal"
"Customweb_UnzerCw::Month","Monat"
"Customweb_UnzerCw::Mr","Herr"
"Customweb_UnzerCw::Mrs","Frau"
