"Customweb_UnzerCw::!label (Live)","!label (Live)"
"Customweb_UnzerCw::A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Algunos métodos de pago no están permitidos para ciertos países. Usted puede decidir en qué momento la verificación de disponibilidad se va a realizar. Recomendamos 'Durante la autorización'."
"Customweb_UnzerCw::A refund was added over !amount.","Un reembolso se añadió durante  !amount."
"Customweb_UnzerCw::A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Una transacción puede ser incierto, cuando no se garantiza el pago. Por ejemplo en el caso de la tarjeta de crédito no participa en el procedimiento de 3D​​."
"Customweb_UnzerCw::About","About"
"Customweb_UnzerCw::Account Holder Name","Titular de la cuenta Nombre"
"Customweb_UnzerCw::Account owner name.","Nombre del titular"
"Customweb_UnzerCw::Action","Acción"
"Customweb_UnzerCw::Actions","Actions"
"Customweb_UnzerCw::Activate","Activate"
"Customweb_UnzerCw::Activate the payment methods you would like to offer.","Activate the payment methods you would like to offer."
"Customweb_UnzerCw::Active","Active"
"Customweb_UnzerCw::Additional Information","Additional Information"
"Customweb_UnzerCw::Adjust Qty","Ajuste de cantidad"
"Customweb_UnzerCw::Adjustment Discount","Adjustment Discount"
"Customweb_UnzerCw::Adjustment Fee","Adjustment Fee"
"Customweb_UnzerCw::After payment selection","Después de elegir la forma de pago"
"Customweb_UnzerCw::Ajax authorization not supported.","Autorización Ajax no es compatibl"
"Customweb_UnzerCw::Alias","Alias"
"Customweb_UnzerCw::Alias For Display","Alias ​​para la exhibición"
"Customweb_UnzerCw::All Customers","All Customers"
"Customweb_UnzerCw::Allowed Currencies","Allowed Currencies"
"Customweb_UnzerCw::Allowed currencies for this payment method","Moneda permitida para esta forma de pago"
"Customweb_UnzerCw::Already registered?","Already registered?"
"Customweb_UnzerCw::Always Checkout as Guest","Always Checkout as Guest"
"Customweb_UnzerCw::American Express","American Express"
"Customweb_UnzerCw::Amount","Montante"
"Customweb_UnzerCw::Amount Incl. Tax","Amount Incl. Tax"
"Customweb_UnzerCw::An unknown error occurred.","An unknown error occurred."
"Customweb_UnzerCw::An unkown error occurred.","An unkown error occurred."
"Customweb_UnzerCw::An unkown exception occurred: @message.","An unkown exception occurred: @message."
"Customweb_UnzerCw::Applied Interest Rate","Applied Interest Rate"
"Customweb_UnzerCw::Are you sure you want to cancel this order?","Are you sure you want to cancel this order?"
"Customweb_UnzerCw::Author","Author"
"Customweb_UnzerCw::Authorization Amount","Importe de autorisación"
"Customweb_UnzerCw::Authorization Failed","Autorisación fallada"
"Customweb_UnzerCw::Authorization Method","Método de autorización"
"Customweb_UnzerCw::Authorization is uncertain.","Autorización está incierta"
"Customweb_UnzerCw::Authorize","Authorize"
"Customweb_UnzerCw::Authorized Status","Authorized Status"
"Customweb_UnzerCw::Await Notification","Await Notification"
"Customweb_UnzerCw::Awaiting confirmation","Awaiting confirmation"
"Customweb_UnzerCw::BIC","BIC"
"Customweb_UnzerCw::Bad signature format.","Bad signature format."
"Customweb_UnzerCw::Bank Location","Banco Ubicación"
"Customweb_UnzerCw::Bank Name","Nombre del banco"
"Customweb_UnzerCw::Bank account number","Número de cuenta bancaria"
"Customweb_UnzerCw::Bank code number","Código bancario"
"Customweb_UnzerCw::Before payment selection","Antes de elegir la forma de pago"
"Customweb_UnzerCw::Billing Address","Billing Address"
"Customweb_UnzerCw::Billing Information","Billing Information"
"Customweb_UnzerCw::Billing address","Dirección de facturación"
"Customweb_UnzerCw::Brand Name","Brand Name"
"Customweb_UnzerCw::By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store."
"Customweb_UnzerCw::CVC","CVC"
"Customweb_UnzerCw::CVC Code","CVC código"
"Customweb_UnzerCw::Cancel","Cancel"
"Customweb_UnzerCw::Cancel ID","Cancel ID"
"Customweb_UnzerCw::Cancel pending orders when out of stock","Cancelar órdenes pendientes si el artículo ya no está en stock"
"Customweb_UnzerCw::Cancel status","Cancelar Estado"
"Customweb_UnzerCw::Canceled UnzerCw","Canceled UnzerCw"
"Customweb_UnzerCw::Canceling of this payment not possible!","La cancelación de este pago no es posible"
"Customweb_UnzerCw::Cancelled @amount using id @id.","Cancelled @amount using id @id."
"Customweb_UnzerCw::Cancelled Status","Cancelled Status"
"Customweb_UnzerCw::Cancelling @amount for charge with id @id.","Cancelling @amount for charge with id @id."
"Customweb_UnzerCw::Cannot update item quantity.","No se puede actualizar la cantidad de artículo."
"Customweb_UnzerCw::Capture Amount","Capture Amount"
"Customweb_UnzerCw::Capture ID","Capture ID"
"Customweb_UnzerCw::Capture amount","Cantidad de captura"
"Customweb_UnzerCw::Capture information","Informaciones de la contabilización"
"Customweb_UnzerCw::Capture status","El estado de captura"
"Customweb_UnzerCw::Capture: Don't Close","Capture: Don't Close"
"Customweb_UnzerCw::Captured Amount","Importe reembolsado"
"Customweb_UnzerCw::Captured Status","Captured Status"
"Customweb_UnzerCw::Captured amount (@captured) does not equal charged amount (@charged). Please check in your Unzer backend.","Captured amount (@captured) does not equal charged amount (@charged). Please check in your Unzer backend."
"Customweb_UnzerCw::Captures","Captures"
"Customweb_UnzerCw::Captures & Refunds","Captures & Refunds"
"Customweb_UnzerCw::Capturing","Contabilización"
"Customweb_UnzerCw::Card 3Ds","Card 3Ds"
"Customweb_UnzerCw::Card Brand","Card Brand"
"Customweb_UnzerCw::Card Expiration","Fecha de vencimiento de la tarjeta"
"Customweb_UnzerCw::Card Expiry","Card Expiry"
"Customweb_UnzerCw::Card Holder Name","Titular de tarjeta"
"Customweb_UnzerCw::Card Number","Número de tarjeta"
"Customweb_UnzerCw::Carrier Title","Carrier Title"
"Customweb_UnzerCw::Charge @id for @amount received and processed.","Charge @id for @amount received and processed."
"Customweb_UnzerCw::Charge @id over @amount was created.","Charge @id over @amount was created."
"Customweb_UnzerCw::Charge ID","Charge ID"
"Customweb_UnzerCw::Check out faster","Check out faster"
"Customweb_UnzerCw::Check to activate the external checkout.","Check to activate the external checkout."
"Customweb_UnzerCw::Checkout","Checkout"
"Customweb_UnzerCw::Checkout as Guest","Checkout as Guest"
"Customweb_UnzerCw::Checkout as a Guest or Register","Checkout as a Guest or Register"
"Customweb_UnzerCw::Checkout as a new customer","Checkout as a new customer"
"Customweb_UnzerCw::Checkout using your account","Checkout using your account"
"Customweb_UnzerCw::Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status","Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status"
"Customweb_UnzerCw::Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status. For captured payments, an invoice is always created.","Selecciona 'Creación después del pedido' si quiere que se crea una factura con el pedido. El estado de la factura basa en la el estado contabilización. Para los pagos capturados, siempre se crea una factura."
"Customweb_UnzerCw::Code: '@code'","Code: '@code'"
"Customweb_UnzerCw::Commercial Register Number","Commercial Register Number"
"Customweb_UnzerCw::Commercial Sector","Commercial Sector"
"Customweb_UnzerCw::Company Commercial Number","Compañía Número Comercial"
"Customweb_UnzerCw::Confirm Password","Confirm Password"
"Customweb_UnzerCw::Continue","Continuar"
"Customweb_UnzerCw::Could not convert object of type '!type' to string.","No se pudo convertir el objeto de tipo '!type' a string."
"Customweb_UnzerCw::Could not find a brand for the given card number.","No se pudo encontrar una marca para el número de la tarjeta dada."
"Customweb_UnzerCw::Could not find pressed button.","No se pudo encontrar el botón presionado."
"Customweb_UnzerCw::Could not find template file at default location '!location'.","No se pudo encontrar el archivo de plantilla en la ubicación predeterminada '!location'."
"Customweb_UnzerCw::Could not find the payment method !paymentMethodName.","No se pudo encontrar la forma de pago !paymentMethodName."
"Customweb_UnzerCw::Could not load layout from URL !url. Reason: !reason","No se pudo cargar el diseño de URL !url. Motivo: !reason"
"Customweb_UnzerCw::Create Account","Create Account"
"Customweb_UnzerCw::Create New Order - Payment","Create New Order - Payment"
"Customweb_UnzerCw::Create a recurring payment, with an existing alias is not supported","Create a recurring payment, with an existing alias is not supported"
"Customweb_UnzerCw::Created type is not recurring.","Created type is not recurring."
"Customweb_UnzerCw::Creating an account has many benefits:","Creating an account has many benefits:"
"Customweb_UnzerCw::Creating new charge failed: @message.","Creating new charge failed: @message."
"Customweb_UnzerCw::Creation Date","Creation Date"
"Customweb_UnzerCw::Credit Card Brands","Credit Card Brands"
"Customweb_UnzerCw::Credit Memo History","Credit Memo History"
"Customweb_UnzerCw::Credit Memo Totals","Credit Memo Totals"
"Customweb_UnzerCw::Credit memo's total must be positive.","Total del nota de crédito debe ser positivo."
"Customweb_UnzerCw::Currency","Moneda"
"Customweb_UnzerCw::Current Configuration Scope:","Alcance de configuración actual:"
"Customweb_UnzerCw::Customer Account","Customer Account"
"Customweb_UnzerCw::Customer Alias Management","Customer Alias Management"
"Customweb_UnzerCw::Customer successfully returned from UnzerCw","El cliente ha regresado con éxito de UnzerCw"
"Customweb_UnzerCw::Customer successfully returned from Unzer","Cliente regresó con éxito de Unzer"
"Customweb_UnzerCw::Customer sucessfully returned from the UnzerCw payment page.","Customer sucessfully returned from the UnzerCw payment page."
"Customweb_UnzerCw::Customers","Customers"
"Customweb_UnzerCw::Customweb","Customweb"
"Customweb_UnzerCw::Date","Fecha"
"Customweb_UnzerCw::Date of Birth","Fecha de nacimiento"
"Customweb_UnzerCw::Day","Día"
"Customweb_UnzerCw::Deactivate","Deactivate"
"Customweb_UnzerCw::Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest."
"Customweb_UnzerCw::Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email."
"Customweb_UnzerCw::Default Config","Configuración estándar"
"Customweb_UnzerCw::Deferred (authorization)","Deferred (authorization)"
"Customweb_UnzerCw::Deferred capturing","Contabilización retrasada"
"Customweb_UnzerCw::Deferred settlement","Creación retrasada"
"Customweb_UnzerCw::Define a maximal order total for this checkout to be available.","Define a maximal order total for this checkout to be available."
"Customweb_UnzerCw::Define a minimal order total for this checkout to be available.","Define a minimal order total for this checkout to be available."
"Customweb_UnzerCw::Delayed","Retrasado"
"Customweb_UnzerCw::Delete","Borrar"
"Customweb_UnzerCw::Delivery address","Dirección de envío"
"Customweb_UnzerCw::Description","Descripción"
"Customweb_UnzerCw::Diners Club","Diners Club"
"Customweb_UnzerCw::Direct Charge","Direct Charge"
"Customweb_UnzerCw::Direct Debits","Direct Debits"
"Customweb_UnzerCw::Direct E-Banking","Direct E-Banking"
"Customweb_UnzerCw::Direct capture after order","Contabilización immediatamente después del pedido"
"Customweb_UnzerCw::Directly after order (sale)","Directly after order (sale)"
"Customweb_UnzerCw::Disabled","Desactivado"
"Customweb_UnzerCw::Discount","Immediatamente después del pedido"
"Customweb_UnzerCw::Discount Amount","Cantidad de Descuento"
"Customweb_UnzerCw::Do not send","Do not send"
"Customweb_UnzerCw::Don't change order status","Don't change order status"
"Customweb_UnzerCw::During authorization","Durante la autorización"
"Customweb_UnzerCw::Edit","Editar"
"Customweb_UnzerCw::Edit Invoice %s","Edit Invoice %s"
"Customweb_UnzerCw::Either enter your commercial register number, or all other fields which are displayed.","Either enter your commercial register number, or all other fields which are displayed."
"Customweb_UnzerCw::Element Size","Element Size"
"Customweb_UnzerCw::Email","Email"
"Customweb_UnzerCw::Email Address","Email Address"
"Customweb_UnzerCw::Empty version number field name","Empty version number field name"
"Customweb_UnzerCw::Enable or disable logging.","Enable or disable logging."
"Customweb_UnzerCw::Enable the payment method","Activar forma de pago"
"Customweb_UnzerCw::Enabled","Activado"
"Customweb_UnzerCw::Enter the date on which your card expires.","Introduzca la fecha en la que expira su tarjeta."
"Customweb_UnzerCw::Enter the public and private key received from Unzer.","Enter the public and private key received from Unzer."
"Customweb_UnzerCw::Enter the sector your company operates in, e.g. finance.","Enter the sector your company operates in, e.g. finance."
"Customweb_UnzerCw::Enter your email address.","Enter your email address."
"Customweb_UnzerCw::Enter your preferred salutation.","Enter your preferred salutation."
"Customweb_UnzerCw::Error with the length of the validation date.","Error with the length of the validation date."
"Customweb_UnzerCw::Excl. Tax","Excl. impuesto"
"Customweb_UnzerCw::Expiry Date","Expiry Date"
"Customweb_UnzerCw::External Checkout","External Checkout"
"Customweb_UnzerCw::External Checkout: Guest Checkout","External Checkout: Guest Checkout"
"Customweb_UnzerCw::Failed","Fallado"
"Customweb_UnzerCw::Failed payment authorization.","Error de autorización de pago."
"Customweb_UnzerCw::Figure !number:","Figure !number:"
"Customweb_UnzerCw::Forgot Your Password?","Forgot Your Password?"
"Customweb_UnzerCw::Forgot your password?","Forgot your password?"
"Customweb_UnzerCw::Get Update","Get Update"
"Customweb_UnzerCw::Here you can configure the merchant name which is displayed as part of the mandate text.","Here you can configure the merchant name which is displayed as part of the mandate text."
"Customweb_UnzerCw::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Customweb_UnzerCw::Here you can set a schema for the invoiceId parameter transmitted to identify the payment. If left empty it is not transmitted. The following placeholders can be used: {oid} for the order id, which may not be unique or set; {tid} for the sellxed transaction id which is a unique number, or {id} which contains the order id and is guaranteed to be unique.","Here you can set a schema for the invoiceId parameter transmitted to identify the payment. If left empty it is not transmitted. The following placeholders can be used: {oid} for the order id, which may not be unique or set; {tid} for the sellxed transaction id which is a unique number, or {id} which contains the order id and is guaranteed to be unique."
"Customweb_UnzerCw::Here you can set a schema for the orderId parameter transmitted to identify the payment. If left empty it is not transmitted. The following placeholders can be used: {oid} for the order id, which may not be unique or set; {tid} for the sellxed transaction id which is a unique number, or {id} which contains the order id and is guaranteed to be unique.","Here you can set a schema for the orderId parameter transmitted to identify the payment. If left empty it is not transmitted. The following placeholders can be used: {oid} for the order id, which may not be unique or set; {tid} for the sellxed transaction id which is a unique number, or {id} which contains the order id and is guaranteed to be unique."
"Customweb_UnzerCw::Here you can set a schema for the paymentReference parameter transmitted to identify the payment. If left empty it is not transmitted. The following placeholders can be used: {oid} for the order id, which may not be unique or set; {tid} for the sellxed transaction id which is a unique number, or {id} which contains the order id and is guaranteed to be unique.","Here you can set a schema for the paymentReference parameter transmitted to identify the payment. If left empty it is not transmitted. The following placeholders can be used: {oid} for the order id, which may not be unique or set; {tid} for the sellxed transaction id which is a unique number, or {id} which contains the order id and is guaranteed to be unique."
"Customweb_UnzerCw::Hide","Hide"
"Customweb_UnzerCw::How should elements from Unzer be loaded? With narrow elements the element label is displayed by the store, with wide elements it is loaded via javascript by Unzer. The input elements are always loaded from Unzer.","How should elements from Unzer be loaded? With narrow elements the element label is displayed by the store, with wide elements it is loaded via javascript by Unzer. The input elements are always loaded from Unzer."
"Customweb_UnzerCw::IBAN","IBAN"
"Customweb_UnzerCw::IBAN number","número IBAN"
"Customweb_UnzerCw::If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","Si sólo hay una unidad en stock y el pago del cliente (comprando esta unidad) falla, el producto está reservado hasta que la orden esta cancelada (vea la opción de tiempo de espera). Activa esta opción si desea que el producto NO está reservado. Ordenes con un estado de pago fallido o annulado entonces serán canceladas inmediatamente."
"Customweb_UnzerCw::If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled.","If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled."
"Customweb_UnzerCw::If it is not applicable leave the field empty.","Si no es aplicable deje el campo vacío."
"Customweb_UnzerCw::If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully."
"Customweb_UnzerCw::If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","If the status is 'Pending' it is unclear whether the transaction will be captured successfully."
"Customweb_UnzerCw::If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","Si el estado es pendiente' no está claro si la transacción será devuelto con éxito."
"Customweb_UnzerCw::If the test mode is selected the test account is used. Otherwise the configured account is used.","If the test mode is selected the test account is used. Otherwise the configured account is used."
"Customweb_UnzerCw::If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information."
"Customweb_UnzerCw::If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>.","If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>."
"Customweb_UnzerCw::Image Brand Selection","Image Brand Selection"
"Customweb_UnzerCw::In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited.","In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited."
"Customweb_UnzerCw::In some cases payment methods may use separate keys. If this is the case, add the keys found in the Unzer backend to the payment method configuration in your store.","In some cases payment methods may use separate keys. If this is the case, add the keys found in the Unzer backend to the payment method configuration in your store."
"Customweb_UnzerCw::In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation.","In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation."
"Customweb_UnzerCw::Inactive","Inactive"
"Customweb_UnzerCw::Incl. Tax","Incl. impuesto"
"Customweb_UnzerCw::Information","Information"
"Customweb_UnzerCw::Invalid login or password.","Invalid login or password."
"Customweb_UnzerCw::Invoice Items","Artículos factura"
"Customweb_UnzerCw::Invoice Settlement","Invoice Settlement"
"Customweb_UnzerCw::Invoice Totals","Totales de las facturas"
"Customweb_UnzerCw::Invoice settlement","Creación de la factura."
"Customweb_UnzerCw::Invoice was created successfully","La cuenta ha sido creada con éxito"
"Customweb_UnzerCw::InvoiceID Schema","InvoiceID Schema"
"Customweb_UnzerCw::Invoices","Facturas"
"Customweb_UnzerCw::Issue Number","Número de emisión"
"Customweb_UnzerCw::Issuer","Issuer"
"Customweb_UnzerCw::It is not possible to checkout in your country.","It is not possible to checkout in your country."
"Customweb_UnzerCw::Item","Item"
"Customweb_UnzerCw::Items","Items"
"Customweb_UnzerCw::Items Refunded","Items Refunded"
"Customweb_UnzerCw::JCB","JCB"
"Customweb_UnzerCw::Live","Live"
"Customweb_UnzerCw::Live HMAC Key","Live HMAC Key"
"Customweb_UnzerCw::Live Identifier (PBX_IDENTIFIANT)","Live Identifier (PBX_IDENTIFIANT)"
"Customweb_UnzerCw::Live Mode","Live Mode"
"Customweb_UnzerCw::Live Password","Live Password"
"Customweb_UnzerCw::Live Rang (PBX_RANG)","Live Rang (PBX_RANG)"
"Customweb_UnzerCw::Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Customweb_UnzerCw::Logging","Logging"
"Customweb_UnzerCw::Login","Login"
"Customweb_UnzerCw::Login & Register","Login & Register"
"Customweb_UnzerCw::Login and password are required.","Login and password are required."
"Customweb_UnzerCw::Mail order/telephone order authorization","Autorización para pedido para e-Mail/pedido telefónico"
"Customweb_UnzerCw::Manage Stores","Administrar las tiendas"
"Customweb_UnzerCw::Manage Unzer Aliases","Manage Unzer Aliases"
"Customweb_UnzerCw::Mandate","Mandate"
"Customweb_UnzerCw::MasterCard","MasterCard"
"Customweb_UnzerCw::Maximum Order Total","Cantidad máxima del pedido"
"Customweb_UnzerCw::Merchant name","Merchant name"
"Customweb_UnzerCw::Message","Notificación"
"Customweb_UnzerCw::Method Title","Method Title"
"Customweb_UnzerCw::Minimum Order Total","Cantidad mínima del pedido"
"Customweb_UnzerCw::Month","Mes"
"Customweb_UnzerCw::Mr","Mr"
"Customweb_UnzerCw::Mrs","Mrs"
"Customweb_UnzerCw::My Unzer Aliases","My Unzer Aliases"
"Customweb_UnzerCw::Narrow (label from shop)","Narrow (label from shop)"
"Customweb_UnzerCw::New Order","New Order"
"Customweb_UnzerCw::New Order Status","Estado de orden nuevo"
"Customweb_UnzerCw::New card","New card"
"Customweb_UnzerCw::Next Update Execution Date","Next Update Execution Date"
"Customweb_UnzerCw::No","No"
"Customweb_UnzerCw::No Items","No Items"
"Customweb_UnzerCw::No additional payment information available.","No hay información adicional de pago disponible."
"Customweb_UnzerCw::No authorization method found for payment method !method.","Ningún método de autorización encontrado para el pago al !method."
"Customweb_UnzerCw::No button returned.","Botón no regresó."
"Customweb_UnzerCw::No refund possible.","Ningún reembolso posible"
"Customweb_UnzerCw::No shipping method needed.","No shipping method needed."
"Customweb_UnzerCw::No, use the dropdown.","No, use the dropdown."
"Customweb_UnzerCw::Only an authorized transaction can be marked as finally declined.","Only an authorized transaction can be marked as finally declined."
"Customweb_UnzerCw::Only an uncertain transaction can be marked as finally declined.","Only an uncertain transaction can be marked as finally declined."
"Customweb_UnzerCw::Only authorized transaction can be cancelled.","Sólo las transacciones autorizadas se pueden cancelar."
"Customweb_UnzerCw::Only authorized transaction can be captured.","Sólo las transacciones autorizadas pueden ser contabilizadas"
"Customweb_UnzerCw::Only authorized transaction can be refunded.","Sólo las transacciones autorizadas pueden ser reembolsadas."
"Customweb_UnzerCw::Only captured transaction can be refunded.","Sólo las transacciones contabilizadas pueden ser reembolsadas"
"Customweb_UnzerCw::Only on captured transaction the flag customer refusing to pay can be set.","Only on captured transaction the flag customer refusing to pay can be set."
"Customweb_UnzerCw::Operation Mode","Operation Mode"
"Customweb_UnzerCw::Operation mode of the shop.","Operation mode of the shop."
"Customweb_UnzerCw::Order #","Order #"
"Customweb_UnzerCw::Order Grand Total","Gran Total del Pedido"
"Customweb_UnzerCw::Order Information","Order Information"
"Customweb_UnzerCw::Order Prefix","Order Prefix"
"Customweb_UnzerCw::Order Review","Order Review"
"Customweb_UnzerCw::Order Summary","Order Summary"
"Customweb_UnzerCw::Order Total","Order Total"
"Customweb_UnzerCw::Order cancelled, because the customer was too long in the payment process of Unzer.","El pedido fue cancelado debido a que el cliente se encuentra demasiado tiempo en el proceso de pago de Unzer."
"Customweb_UnzerCw::Order was placed using %s","Order was placed using %s"
"Customweb_UnzerCw::OrderId Schema","OrderId Schema"
"Customweb_UnzerCw::Orders","Orders"
"Customweb_UnzerCw::Orders with with payments that are longer pending than the specified timeout in minutes are cancelled automatically.","Pedidos cuyos pagos quedarán pendiente mayor que el tiempo definido en minutos se cancelarán automáticamente. Para utilizar esta función es necesario configurar Magento cron."
"Customweb_UnzerCw::Paid Amount","Cantidad pagada"
"Customweb_UnzerCw::Partial refund not possible. You may retry with the total transaction amount.","Reembolso parcial imposible. El importe es mayor que el importe total contabilizado."
"Customweb_UnzerCw::Password","Password"
"Customweb_UnzerCw::Password and password confirmation are not equal.","Password and password confirmation are not equal."
"Customweb_UnzerCw::Pay with ____paymentMethodName____","Pay with ____paymentMethodName____"
"Customweb_UnzerCw::Payment","Payment"
"Customweb_UnzerCw::Payment Failed","Payment Failed"
"Customweb_UnzerCw::Payment ID","ID de pago"
"Customweb_UnzerCw::Payment Id","ID de pago"
"Customweb_UnzerCw::Payment Information","Condiciones de venta"
